frame,timestamp,track_id,position_x,position_y,stay_duration,confidence,is_long_stay,notification
47,1.9166666666666667,1,1305.5831909179688,540.9208989143372,0.0,0.7260841727256775,False,
48,1.9583333333333335,1,1286.1832809448242,553.7805247306824,0.04166666666666674,0.7417343854904175,False,
49,2.001666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
50,2.0433333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
51,2.085,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
52,2.126666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
53,2.1683333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
54,2.21,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
55,2.251666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
56,2.2933333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
57,2.335,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
58,2.376666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
59,2.4183333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
60,2.46,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
61,2.501666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
62,2.5433333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
63,2.585,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
64,2.626666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
65,2.6683333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
66,2.71,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
67,2.751666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
68,2.7933333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
69,2.835,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
70,2.876666666666667,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
71,2.9183333333333334,1,1274.2694473266602,553.4891724586487,0.08500000000000019,0.7552384734153748,False,
