frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
430,17.881666666666668,757.5,524.5,756.162223815918,612.1127772331238,729.9309539794922,612.0734453201294,0.9056687355041504,782.3934936523438,612.1521091461182,0.9079101085662842,760.4153823852539,486.99540853500366,181,215,True
440,18.3,757.5,522.5,755.6948852539062,606.3656401634216,729.5581817626953,607.5474214553833,0.9150179624557495,781.8315887451172,605.18385887146,0.9169774055480957,760.4069137573242,486.2258291244507,183,209,True
450,18.71666666666667,757.5,518.0,753.1800842285156,599.4251990318298,728.5337829589844,599.1479015350342,0.9234467148780823,777.8263854980469,599.7024965286255,0.9251827597618103,760.2058029174805,485.130672454834,183,202,True
460,19.133333333333333,760.0,514.0,752.5867080688477,592.8366422653198,728.8021850585938,593.7411689758301,0.9310372471809387,776.3712310791016,591.9321155548096,0.9325804710388184,759.1250228881836,482.34145402908325,164,198,True
470,19.55,763.0,510.5,749.6791839599609,589.2494988441467,728.68408203125,588.9706563949585,0.9377291202545166,770.6742858886719,589.528341293335,0.9389817118644714,758.6341857910156,478.8034701347351,148,197,True
480,19.96666666666667,761.0,508.0,749.6610641479492,584.2803740501404,728.7741088867188,583.2547616958618,0.9438868165016174,770.5480194091797,585.305986404419,0.9450096487998962,759.0058898925781,477.2865843772888,150,194,True
490,20.383333333333336,758.0,505.5,749.7984313964844,577.1094131469727,728.7584686279297,573.2174205780029,0.9494783282279968,770.8383941650391,581.0014057159424,0.9504896998405457,758.897819519043,476.0508370399475,156,191,True
500,20.8,755.5,504.5,750.4464721679688,577.6513051986694,728.7416076660156,573.9210176467896,0.9545093178749084,772.1513366699219,581.3815927505493,0.9554296731948853,758.2954025268555,475.7839035987854,157,193,True
510,21.21666666666667,753.5,506.5,749.6823120117188,581.9565510749817,727.6509094238281,579.6906852722168,0.9590363502502441,771.7137145996094,584.2224168777466,0.9598749876022339,756.2783050537109,475.44987201690674,165,195,True
520,21.633333333333336,757.5,510.0,747.2202301025391,581.5348863601685,728.4014892578125,575.8301496505737,0.9631310701370239,766.0389709472656,587.2396230697632,0.9638866782188416,758.592414855957,476.49930238723755,153,202,True
530,22.05166666666667,763.0,509.0,752.6358032226562,579.9571251869202,736.6520690917969,571.1470985412598,0.9668095707893372,768.6195373535156,588.7671518325806,0.9674956798553467,760.965576171875,478.8774561882019,144,198,True
540,22.468333333333334,768.0,511.5,746.8220138549805,572.8384566307068,735.6539916992188,561.1463212966919,0.9700372815132141,757.9900360107422,584.5305919647217,0.9707196354866028,756.1713409423828,477.40432262420654,146,185,True
550,22.885,785.0,522.0,755.1536560058594,574.1416025161743,743.1606292724609,566.2598133087158,0.973027229309082,767.1466827392578,582.0233917236328,0.9736441373825073,762.9561614990234,475.9749412536621,126,194,True
560,23.30166666666667,781.5,522.0,754.8283767700195,570.849244594574,750.3598022460938,560.6678581237793,0.9756916761398315,759.2969512939453,581.0306310653687,0.9762551784515381,770.0918579101562,473.9062714576721,103,188,True
570,23.718333333333334,760.5,521.0,760.9909057617188,571.7572045326233,768.4026336669922,563.6182880401611,0.9780609607696533,753.5791778564453,579.8961210250854,0.9785848259925842,768.0995559692383,480.36144733428955,139,170,True
580,24.135,786.5,531.5,755.773811340332,573.8530611991882,768.1492614746094,566.2886953353882,0.9799841046333313,743.3983612060547,581.4174270629883,0.980522871017456,762.039794921875,482.52899408340454,129,193,True
590,24.55166666666667,784.5,531.0,755.64208984375,573.7339496612549,765.7157897949219,566.4475679397583,0.9817041754722595,745.5683898925781,581.0203313827515,0.9822514057159424,764.9694061279297,482.0600152015686,127,194,True
600,24.968333333333334,776.5,571.0,759.2353439331055,569.8471069335938,773.0838012695312,563.4645223617554,0.9832611083984375,745.3868865966797,576.2296915054321,0.9838401675224304,766.5591049194336,483.36037158966064,163,272,True
610,25.385,768.0,577.0,759.6089172363281,568.63361120224,778.49853515625,564.33669090271,0.9848676919937134,740.7192993164062,572.93053150177,0.9854153990745544,761.2013626098633,482.45097398757935,184,286,True
620,25.80166666666667,780.0,574.0,755.4650115966797,567.7066826820374,777.1957397460938,564.3659591674805,0.9863119721412659,733.7342834472656,571.0474061965942,0.9868103265762329,750.9513473510742,480.1910090446472,224,292,True
630,26.220000000000002,782.5,574.0,757.0534515380859,565.0348162651062,776.1796569824219,560.9271097183228,0.9876523017883301,737.92724609375,569.1425228118896,0.9880883097648621,752.9100036621094,478.0425810813904,205,292,True
640,26.636666666666667,768.0,576.5,758.7833404541016,565.8089232444763,778.6911010742188,562.3356771469116,0.9888279438018799,738.8755798339844,569.282169342041,0.989197850227356,755.9376907348633,479.1660189628601,186,287,True
650,27.053333333333335,749.0,577.5,754.6527099609375,569.1566205024719,776.2549591064453,567.4025201797485,0.9898977279663086,733.0504608154297,570.9107208251953,0.9902247786521912,753.6154937744141,484.00923013687134,160,285,True
660,27.470000000000002,743.5,573.0,748.8329315185547,572.6182579994202,772.9396820068359,573.446159362793,0.9908736348152161,724.7261810302734,571.7903566360474,0.9911755323410034,750.4819488525391,485.9704399108887,163,294,True
670,27.886666666666667,745.0,569.5,748.6495971679688,574.1405940055847,772.1267700195312,576.4000654220581,0.9917461276054382,725.1724243164062,571.8811225891113,0.9920100569725037,750.0226593017578,485.051429271698,168,301,True
680,28.303333333333335,748.0,566.5,746.1360168457031,573.7500858306885,769.5008850097656,575.4266166687012,0.9925472736358643,722.7711486816406,572.0735549926758,0.9927796721458435,748.6655807495117,484.3755769729614,172,307,True
690,28.720000000000002,750.0,566.0,743.5874176025391,571.4003205299377,766.4503479003906,574.1618585586548,0.9932717680931091,720.7244873046875,568.6387825012207,0.9934790730476379,747.9224014282227,482.7277994155884,172,308,True
700,29.13666666666667,753.5,566.5,744.5520401000977,561.8837571144104,765.8725738525391,564.5638847351074,0.9939287304878235,723.2315063476562,559.2036294937134,0.9941033124923706,749.3529510498047,477.4853038787842,167,307,True
710,29.553333333333335,756.5,564.0,745.3030776977539,555.9204125404358,765.8293914794922,558.4259176254272,0.9945237040519714,724.7767639160156,553.4149074554443,0.9946680665016174,750.9856033325195,469.48152780532837,165,312,True
720,29.970000000000002,755.0,555.5,745.8044815063477,553.0596327781677,765.8589935302734,555.7526779174805,0.9950602650642395,725.7499694824219,550.366587638855,0.9951805472373962,754.8378753662109,467.49847412109375,168,305,True
