timestamp,frame_number,right_elbow_angle,right_elbow_state,left_elbow_angle,left_elbow_state,right_shoulder_angle,right_shoulder_state,left_shoulder_angle,left_shoulder_state,right_hip_angle,right_hip_state,left_hip_angle,left_hip_state,right_knee_angle,right_knee_state,left_knee_angle,left_knee_state,body_tilt_angle,neck_trunk_angle_angle,neck_trunk_angle_state,body_tilt_state,is_forward_leaning,forward_lean_score,forward_lean_ratio,avg_forward_lean_score,hip_center_x,hip_center_y,stay_duration,hip_confidence,is_long_stay,long_stay_alert
0.7916666666666667,19,35.340416923396965,STATIC,71.76040450828549,STATIC,89.37369995577302,STATIC,98.80146248473169,STATIC,89.9676949512172,STATIC,84.1186828523301,STATIC,47.601452819102214,STATIC,90.46329012132135,STATIC,98.15285637346662,172.86622582446842,STRAIGHT,FORWARD_TILT,False,0.11521587472562973,0.0,0.11521587472562973,257.11848735809326,548.1792449951172,0.0,0.9927870035171509,False,
0.8333333333333334,20,55.53397345768278,EXTENSION,73.29328599900201,STATIC,87.9552489413251,STATIC,90.15992849033563,FLEXION,79.58960108032925,FLEXION,41.52661769758346,FLEXION,40.852586621925084,FLEXION,52.33426192160292,FLEXION,95.84240972200821,157.77379929956422,STRAIGHT,FORWARD_TILT,False,0.28701686728442616,0.0,0.20111637100502794,256.8822705745697,524.3190002441406,0.04166666666666663,0.993238091468811,False,
0.8750000000000001,21,61.102635617940365,EXTENSION,119.9993789149711,EXTENSION,87.10274905258281,STATIC,106.25492043035011,EXTENSION,80.64490479603829,STATIC,51.70613562607653,EXTENSION,48.061707412180155,EXTENSION,62.24307088597889,EXTENSION,95.97188711891964,149.89095750639063,HUNCH,FORWARD_TILT,False,0.12030478972153273,0.0,0.17417917724386286,257.2549366950989,511.85386657714844,0.08333333333333337,0.9936442673206329,False,
0.9166666666666667,22,56.620900361908504,STATIC,111.04505102345978,FLEXION,85.395346119041,STATIC,61.48033271777169,FLEXION,94.37150339591707,EXTENSION,81.88064480735876,EXTENSION,59.95107395108814,EXTENSION,82.48394996711353,EXTENSION,96.7126911751928,136.03544903175555,HUNCH,FORWARD_TILT,False,0.3161152439845592,0.0,0.20966319392903693,256.0020661354065,516.0595703125,0.125,0.9941859841346741,False,
0.9583333333333334,23,54.59489509093256,STATIC,140.85270327436388,EXTENSION,86.27470311585269,STATIC,99.85011822127228,EXTENSION,90.70003136403216,STATIC,52.42415877203125,FLEXION,67.09703818183675,EXTENSION,75.05024129367494,FLEXION,97.05081097768276,138.99874728686123,HUNCH,FORWARD_TILT,False,0.1421120927454578,0.0,0.1961529736923211,239.2511773109436,511.09859466552734,0.16666666666666663,0.994684100151062,False,
1.0,24,77.48215707552517,EXTENSION,120.93338273095607,FLEXION,94.23010188708916,EXTENSION,122.77011848854234,EXTENSION,69.53590606198149,FLEXION,27.565351729303522,FLEXION,59.886350963237966,FLEXION,34.816859284792066,FLEXION,94.60736025255738,155.61774238554514,STRAIGHT,FORWARD_TILT,False,0.12309475499431692,0.0,0.18397660390932039,235.39192914962769,503.6312675476074,0.20833333333333326,0.9950807988643646,False,
1.0416666666666667,25,55.28184233049936,FLEXION,120.71327257733198,STATIC,87.12793848662957,FLEXION,113.49211843553866,FLEXION,74.44089337204427,STATIC,42.43628061740401,EXTENSION,69.47288402475691,EXTENSION,34.85809254408005,STATIC,95.96248389450686,146.89324776670904,HUNCH,FORWARD_TILT,False,0.4603205963084091,0.0,0.22345431710919023,227.2356641292572,507.4728202819824,0.25,0.9954353868961334,False,
1.0833333333333335,26,72.18878644822547,EXTENSION,132.0573343457902,EXTENSION,93.02777737885066,EXTENSION,129.38554243275598,EXTENSION,71.03879868673934,STATIC,27.639032117776043,FLEXION,61.04585836522768,FLEXION,30.06276978508058,STATIC,94.31182612145612,158.45820769883204,STRAIGHT,FORWARD_TILT,False,0.12375149750787529,0.0,0.21099146465902585,224.86914038658142,504.5754051208496,0.29166666666666674,0.9956086277961731,False,
1.125,27,55.6880825314675,FLEXION,132.77238406898417,STATIC,87.51994147622001,FLEXION,129.0025830005908,STATIC,73.19359812727667,STATIC,38.36396095912533,EXTENSION,68.57470238950691,EXTENSION,61.50331613716667,EXTENSION,93.73534289943483,160.0406226928464,STRAIGHT,FORWARD_TILT,False,0.2916992380012559,0.0,0.21995899503038474,218.36151123046875,501.723575592041,0.33333333333333326,0.994642585515976,False,
1.25,30,33.42649386727157,FLEXION,132.51740833516035,STATIC,93.56137323205061,EXTENSION,111.6021328043036,FLEXION,88.95310320282859,EXTENSION,106.10846728845513,EXTENSION,86.05318555611728,EXTENSION,100.65811979026923,EXTENSION,114.13123483312535,161.58158629574365,STRAIGHT,FORWARD_TILT,False,0.24637503370416589,0.0,0.22260059889776285,199.0829086303711,519.7969818115234,0.0,0.9941647350788116,False,
