# FPS別YOLOv11+ByteTrack精度比較
# 実行日時,2025-05-18 21:01:39
# システム情報
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# 元の入力動画,data/videos/WIN_20250319_10_03_53_Pro.mp4
# YOLOモデル,weights/yolo11n.pt
# FPS比較,"28.089349711378fps, 10fps"

FPS,フレーム数,平均検出時間(ms),平均追跡時間(ms),平均FPS,平均検出オブジェクト数,平均追跡オブジェクト数,最大検出オブジェクト数,最大追跡オブジェクト数,平均検出信頼度,平均メモリ使用量(MB)
28.1,1369,47.1,0.3,18.4,0.8,0.8,2,2,0.669,578.0
10.0,685,45.6,0.2,18.3,0.9,0.8,2,1,0.674,442.2
