frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748171001.6848,54.4741153717041,18.37720935531078,1,1,0,47.367095947265625,21.12775978359972,1,1,0,46.293020248413086,21.62112675330299,1,1,0
1,1748171001.8432262,26.896238327026367,24.610416128805127,1,1,0,26.285886764526367,27.18058485216687,1,1,0,25.763273239135742,27.783931664695967,1,1,0
2,1748171001.930357,26.715993881225586,27.793106342562428,1,1,0,25.779008865356445,30.2017190354008,1,1,0,25.23493766784668,30.867479632914094,1,1,0
3,1748171002.015433,25.240182876586914,30.04348970597979,1,1,0,26.506900787353516,31.79321505861307,1,1,0,25.75087547302246,32.54766754742311,1,1,0
4,1748171002.101225,26.296138763427734,31.367959734655567,1,1,0,26.07107162475586,32.92552807337606,1,1,0,25.264978408813477,33.75398556264636,1,1,0
5,1748171002.186364,25.79522132873535,32.4053386900508,1,1,0,27.58193016052246,33.442422180642964,1,1,0,26.802778244018555,34.30441805717806,1,1,0
6,1748171002.273647,27.503013610839844,32.92291406887767,1,1,0,25.860071182250977,34.10545928910872,1,1,0,25.96879005432129,34.85299483973746,1,1,0
7,1748171002.3598962,29.142141342163086,33.096149616263595,1,1,0,29.933691024780273,34.0217203287149,1,1,0,28.34010124206543,34.911512306373346,1,1,0
8,1748171002.456327,29.01601791381836,33.247988979794236,1,1,0,26.767969131469727,34.36652051681694,1,1,0,25.557994842529297,35.33933544845948,1,1,0
9,1748171002.544565,26.495933532714844,33.65294088856902,1,1,0,25.893688201904297,34.7525325087455,1,1,0,25.29287338256836,35.72250209728864,1,1,0
10,1748171002.630616,26.827096939086914,33.956676617266936,1,1,0,27.443885803222656,34.90269123259588,1,1,0,26.301860809326172,35.92369784671206,1,1,0
11,1748171002.719455,25.570154190063477,34.337627499766334,1,1,0,27.918100357055664,34.98012876825051,1,1,0,26.752948760986328,36.04440341769677,1,1,0
12,1748171002.807477,25.723934173583984,34.65201594632193,1,1,0,25.190114974975586,35.305680667393595,1,1,0,26.413917541503906,36.180609920447175,1,1,0
13,1748171002.892432,25.8481502532959,34.91657757190512,1,1,0,25.619983673095703,35.550802553447056,1,1,0,25.183677673339844,36.41446575709449,1,1,0
14,1748171002.976338,26.18694305419922,35.120683360667904,1,1,0,24.884939193725586,35.8284391470363,1,1,0,25.25186538696289,36.61341975747622,1,1,0
15,1748171003.0602791,24.419784545898438,35.438801682460635,1,1,0,24.760723114013672,36.08554424439,1,1,0,24.26910400390625,36.872900898623904,1,1,0
16,1748171003.140488,25.97188949584961,35.60803537273914,1,1,0,25.24423599243164,36.27768238137903,1,1,0,25.664091110229492,36.992238200752574,1,1,0
17,1748171003.225417,24.554014205932617,35.861489265893105,1,0,0,24.827957153320312,36.48269526748027,1,0,0,24.74069595336914,37.170054014081764,0,0,0
18,1748171003.306962,24.279117584228516,36.11039411516553,0,0,0,25.029897689819336,36.653463005848145,0,0,0,23.841142654418945,37.39651008097157,0,0,0
19,1748171003.387894,24.74188804626465,36.307106077190724,1,1,0,23.896217346191406,36.884480972540025,1,1,0,24.631023406982422,37.54698291933042,0,1,0
20,1748171003.471173,25.22420883178711,36.455392419397434,2,1,1,25.275230407714844,37.006061354673065,1,1,0,27.128219604492188,37.5162158535988,1,1,0
21,1748171003.556465,24.559974670410156,36.631897707436885,1,1,0,24.1851806640625,37.18510446923952,1,1,0,24.539709091186523,37.65383976609858,1,1,0
22,1748171003.636974,24.25384521484375,36.812413854159196,1,1,0,25.169849395751953,37.29064314758428,1,1,0,23.979663848876953,37.81521350119538,1,1,0
23,1748171003.717741,24.8110294342041,36.94823855609279,1,1,0,24.36089515686035,37.43509077135852,1,1,0,23.933887481689453,37.967065610794876,1,1,0
24,1748171003.7982059,24.82891082763672,37.07270921581612,1,1,0,24.981975555419922,37.53383527545368,1,1,0,25.241851806640625,38.032024379354006,1,1,0
25,1748171003.881561,24.219036102294922,37.22115052816931,1,1,0,24.027109146118164,37.67751101283535,1,1,0,23.383140563964844,38.19633237549369,1,1,0
26,1748171003.960879,25.506973266601562,37.29292938606703,1,1,0,24.196147918701172,37.80284447138671,1,1,0,24.055004119873047,38.313709967175974,1,1,0
27,1748171004.043521,24.182796478271484,37.42589488417271,1,1,0,24.337053298950195,37.912592872373224,1,1,0,23.96106719970703,38.42797795898067,1,1,0
28,1748171004.123253,24.10292625427246,37.55459171071482,1,1,0,25.681257247924805,37.948490310149474,1,1,0,24.08003807067871,38.528742418804754,1,1,0
29,1748171004.204822,24.077177047729492,37.67675079992167,1,1,0,23.76699447631836,38.07430941984913,1,1,0,23.98991584777832,38.62774905755369,1,1,0
