frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748170426.354099,94.31600570678711,10.609439541454506,6,6,0,55.6187629699707,17.991421021927867,6,6,0,49.073219299316406,20.396045574126035,3,6,0
1,1748170426.55918,32.578229904174805,15.775058108484215,6,6,0,38.19084167480469,21.334201424211596,6,6,0,35.07494926452637,23.78991072340136,3,6,0
2,1748170426.668473,32.39011764526367,18.852329626666428,6,5,0,36.135196685791016,23.103342415852055,6,5,0,33.612966537475586,25.498890507813055,3,5,0
3,1748170426.774013,33.60891342163086,20.757047803569616,5,5,0,35.87079048156738,24.140816981379132,5,5,0,33.6761474609375,26.438216022515608,4,5,1
4,1748170426.87958,33.2789421081543,22.128812643636923,5,5,0,38.27214241027832,24.517454999058888,5,5,0,32.45806694030762,27.21573492731317,4,5,0
5,1748170426.98575,38.98191452026367,22.65058931006395,5,5,0,36.47112846374512,24.960350395543884,5,5,0,33.12325477600098,27.674062670104963,4,5,0
6,1748170427.0970721,33.84113311767578,23.434970634577287,5,5,0,36.073923110961914,25.32486414684217,5,5,0,33.62894058227539,27.954439033214793,4,5,0
7,1748170427.202661,32.282114028930664,24.17313023381803,5,5,0,35.195112228393555,25.675652595767865,5,5,0,33.04767608642578,28.226319101184085,4,5,0
8,1748170427.3052008,31.637907028198242,24.824503624827706,5,5,0,37.055015563964844,25.816856270183983,5,5,0,32.61399269104004,28.480691707880172,4,5,0
9,1748170427.408742,32.109975814819336,25.340899204423522,5,5,0,35.845041275024414,26.012913725127806,5,5,0,33.071279525756836,28.649617486338798,4,5,0
10,1748170427.511882,31.857967376708984,25.794592998942214,5,5,0,35.65692901611328,26.186844297931952,5,5,0,35.11810302734375,28.635996539152387,4,5,0
11,1748170427.6165729,32.74989128112793,26.134743479768957,5,5,0,35.8121395111084,26.324661943410888,5,5,0,33.79416465759277,28.71540728273737,4,5,0
12,1748170427.720924,32.256126403808594,26.456091660448,5,5,0,36.18621826171875,26.42236177142306,5,5,0,32.750844955444336,28.849450560497605,4,5,0
13,1748170427.826325,32.083988189697266,26.746597589810467,6,6,1,36.64278984069824,26.484016749083075,6,6,1,32.27806091308594,28.99371986520349,4,6,0
14,1748170427.930336,32.72819519042969,26.972345382194142,7,6,1,38.61188888549805,26.445200487252496,7,6,1,32.64307975769043,29.099358944710136,4,6,0
15,1748170428.037168,32.788991928100586,27.170306574993504,7,7,1,38.906097412109375,26.398778971881736,7,7,1,32.77015686035156,29.18562169557807,4,7,0
16,1748170428.144487,31.81314468383789,27.390594418636454,7,5,0,37.731170654296875,26.405940146726067,7,5,0,33.61821174621582,29.219544178971386,4,5,1
17,1748170428.250741,31.788110733032227,27.59022286703077,5,5,0,35.76087951660156,26.48880749009268,5,5,0,33.00905227661133,29.27873474400803,4,5,0
18,1748170428.354256,32.92107582092285,27.725561674518413,5,4,0,35.58611869812012,26.570071876627463,5,4,0,33.08606147766113,29.328346877165583,4,4,0
19,1748170428.458866,32.63735771179199,27.859253879106642,5,4,1,34.94405746459961,26.666446263757432,5,4,1,33.67805480957031,29.347564307719864,3,4,0
20,1748170428.562808,33.049821853637695,27.966279316759596,5,5,1,36.17286682128906,26.71230625853142,5,5,1,32.8829288482666,29.397904307034537,4,5,0
21,1748170428.667712,32.36889839172363,28.088911942523392,6,6,0,36.28396987915039,26.750636262882168,6,6,0,33.86974334716797,29.40490766461307,4,6,0
22,1748170428.773002,33.1728458404541,28.17359813930233,6,4,0,35.073041915893555,26.823363235008703,6,4,0,32.89175033569336,29.44816906301217,4,4,0
23,1748170428.876874,32.50002861022949,28.27397500365842,4,4,0,35.018205642700195,26.892123531948112,4,4,0,34.20376777648926,29.440443984560215,4,4,0
24,1748170428.9814012,32.54079818725586,28.365735376744595,5,5,1,36.26394271850586,26.919440331871975,5,5,1,31.91685676574707,29.512661238344258,4,5,0
25,1748170429.08599,32.586097717285156,28.44971310771883,6,6,0,36.75413131713867,26.931123957810865,6,6,0,32.91010856628418,29.546419310151247,4,6,0
26,1748170429.1913831,33.29205513000488,28.506723280942975,6,6,0,38.281917572021484,26.900902309041737,6,6,0,34.22403335571289,29.535110402418592,4,6,0
27,1748170429.299944,32.24825859069824,28.590096632352534,7,6,1,37.31989860534668,26.8977591864013,7,6,1,33.87880325317383,29.53548014562457,4,6,0
28,1748170429.406288,32.61899948120117,28.65764994427965,6,6,0,38.55490684509277,26.864040825187903,6,6,0,33.11419486999512,29.558706447712954,4,6,0
29,1748170429.513354,34.08694267272949,28.68071438112088,6,6,0,41.239261627197266,26.76841130931272,6,6,0,32.95588493347168,29.58497280716872,3,6,0
30,1748170429.624769,33.80560874938965,30.440992253133025,6,6,0,37.611961364746094,27.20523153580368,6,6,0,34.9729061126709,30.001766785716075,3,6,0
31,1748170429.734111,35.430908203125,30.352619189077902,6,5,0,38.1777286529541,27.205625634308692,6,5,0,35.23612022399902,29.997089191603425,3,5,0
32,1748170429.845749,32.38177299499512,30.352743658275358,5,3,0,34.42716598510742,27.247759942589393,5,3,0,33.812761306762695,29.991119153502307,2,3,0
33,1748170429.949026,32.588958740234375,30.384098450673,4,4,1,35.87913513183594,27.24761243372924,4,4,1,32.59587287902832,30.023715154721163,3,4,0
34,1748170430.053039,32.56511688232422,30.405992798975422,4,4,0,36.03982925415039,27.302809433823477,4,4,0,33.19287300109863,30.001473499188624,3,4,0
