frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
0,1748170890.406214,47.827959060668945,20.933630129465666,1,1,0,42.61612892150879,23.483555983561583,1,1,0,41.82577133178711,23.932578243131438,1,1,0
1,1748170890.549176,27.064085006713867,26.741201672957256,1,1,0,25.843143463134766,29.242762174014594,1,1,0,24.95121955871582,29.985873201978894,1,1,0
2,1748170890.635125,26.512861251831055,29.624975278994206,1,1,0,25.67124366760254,31.902721752468846,1,1,0,25.434017181396484,32.574672710657325,1,1,0
3,1748170890.720244,26.82185173034668,31.236845486010907,1,1,0,26.215076446533203,33.271623202776404,1,1,0,25.8331298828125,33.92784182714961,1,1,0
4,1748170890.8074062,26.2908935546875,32.40301046493482,1,1,0,26.205062866210938,34.15334505895381,1,1,0,25.84528923034668,34.79243016718069,1,1,0
5,1748170890.893897,25.941133499145508,33.29438069055299,1,1,0,25.658130645751953,34.87749827108069,1,1,0,26.511192321777344,35.254646064188954,1,1,0
6,1748170890.980792,27.572154998779297,33.69587766705267,1,1,0,25.738954544067383,35.40043309877835,1,1,0,25.127172470092773,35.84520700638887,1,1,0
7,1748170891.067113,26.554107666015625,34.15251076857936,1,1,0,25.433778762817383,35.85116519594802,1,1,0,25.065898895263672,36.31035135769791,1,1,0
8,1748170891.152232,25.419950485229492,34.66573854270457,1,1,0,25.422096252441406,36.2117986307165,1,1,0,24.771928787231445,36.725311737802656,1,1,0
9,1748170891.235722,26.578903198242188,34.944932810447064,1,1,0,25.657176971435547,36.47398482013037,1,1,0,24.93000030517578,37.04204417698703,1,1,0
10,1748170891.3204648,25.745153427124023,35.27071796173358,1,1,0,24.642229080200195,36.81615599330345,1,1,0,24.168014526367188,37.40257179777777,1,1,0
11,1748170891.402348,25.137901306152344,35.61114161350759,1,1,0,25.73418617248535,36.98123665967429,1,1,0,24.97410774230957,37.61269089702546,1,1,0
12,1748170891.485826,26.240110397338867,35.79502429948998,1,1,0,24.932146072387695,37.20742238438605,1,1,0,25.243759155273438,37.762472825691745,1,1,0
13,1748170891.570136,24.83987808227539,36.084180486482936,1,1,0,26.348114013671875,37.26230850163276,1,1,0,24.435043334960938,37.97505375787775,1,1,0
14,1748170891.652988,26.751041412353516,36.1712637809943,1,1,0,24.57404136657715,37.47519704175284,1,1,0,24.521827697753906,38.15288184682707,1,1,0
15,1748170891.736279,25.586843490600586,36.34342655373351,1,1,0,25.809288024902344,37.554387351159335,1,1,0,25.49600601196289,38.221180850015635,1,1,0
16,1748170891.820578,25.519847869873047,36.502026463561286,1,1,0,26.654958724975586,37.554548059258764,1,1,0,24.982929229736328,38.32549639525215,1,1,0
17,1748170891.904974,25.003910064697266,36.68298523010962,1,0,0,24.418115615844727,37.7316624227537,1,0,0,24.034976959228516,38.49666852442682,0,0,0
18,1748170891.9855099,25.270938873291016,36.82815236690355,0,0,0,25.289058685302734,37.82705791886991,0,0,0,24.97100830078125,38.577983978560624,0,0,0
19,1748170892.068298,24.873971939086914,36.98664467969718,1,1,0,24.5358943939209,37.96543892886205,1,1,0,25.84385871887207,38.58686982337253,0,1,0
20,1748170892.1508732,24.752140045166016,37.138831498044404,2,1,1,24.70874786376953,38.07984021063144,1,1,0,25.335073471069336,38.63042580122259,1,1,0
21,1748170892.233752,24.873971939086914,37.270399225790925,1,1,0,24.736404418945312,38.182245061532484,1,1,0,23.822784423828125,38.77289741146178,1,1,0
22,1748170892.314484,25.75206756591797,37.33798408387452,1,1,0,24.22189712524414,38.309135356917636,1,1,0,25.65622329711914,38.78388982317304,1,1,0
23,1748170892.3976161,25.397062301635742,37.42089620595168,1,1,0,24.291038513183594,38.42201456675693,1,1,0,24.48892593383789,38.86684275737822,1,1,0
24,1748170892.479489,25.42281150817871,37.49605309785778,1,1,0,24.16372299194336,38.53391381744003,1,1,0,25.675058364868164,38.87191030562933,1,1,0
25,1748170892.562986,24.420738220214844,37.62004794445646,1,1,0,25.067806243896484,38.58609431685053,1,1,0,23.97298812866211,38.975839332994035,1,1,0
26,1748170892.643782,25.439023971557617,37.68235225610882,1,1,0,25.104045867919922,38.632532444738274,1,1,0,25.446176528930664,38.98933773746851,1,1,0
27,1748170892.727694,26.249170303344727,37.698970665937345,1,1,0,24.168014526367188,38.725976331224366,1,1,0,24.641036987304688,39.045657020773504,1,1,0
28,1748170892.809948,25.213003158569336,37.765674556170765,1,1,0,25.65288543701172,38.73640067960377,1,1,0,24.46889877319336,39.107478128908426,1,1,0
29,1748170892.892443,25.370121002197266,37.8200494853095,1,1,0,24.11198616027832,38.82330290718627,1,1,0,24.52993392944336,39.162538900596545,1,1,0
30,1748170892.974159,24.19114112854004,38.9804721431572,1,1,0,24.81698989868164,39.73826815986499,1,1,0,24.24311637878418,40.081878073533545,1,1,0
31,1748170893.0548182,25.154829025268555,39.07714801594277,2,1,1,24.602174758911133,39.803483359003486,1,1,0,26.1838436126709,40.01558274868874,1,1,0
32,1748170893.137743,27.90689468383789,39.00651270409743,1,1,0,25.192975997924805,39.82861831110031,1,1,0,24.733304977416992,40.052610201948305,1,1,0
33,1748170893.2232032,24.50394630432129,39.12472925299011,1,1,0,25.36320686340332,39.873751777742285,1,1,0,24.163246154785156,40.142079006085,1,1,0
34,1748170893.304502,24.418115615844727,39.22069251204635,2,1,1,24.251699447631836,39.97773456860727,1,1,0,25.465011596679688,40.16245111720253,1,1,0
35,1748170893.3861618,25.044918060302734,39.26688405125483,1,1,0,24.68705177307129,40.02980225782007,1,1,0,24.901866912841797,40.249205837918964,1,1,0
36,1748170893.46813,24.6579647064209,39.41712493871867,1,1,0,23.971080780029297,40.12392809721391,1,1,0,24.805784225463867,40.266529617210885,1,1,0
37,1748170893.549376,24.088621139526367,39.544582011819145,2,1,1,23.995161056518555,40.201561938889874,1,1,0,24.77884292602539,40.282140221756606,1,1,0
38,1748170893.6294851,24.177074432373047,39.60933707803626,1,1,0,24.101972579956055,40.272689913161706,1,1,0,24.350881576538086,40.30505596077284,1,1,0
39,1748170893.709261,24.536848068237305,39.71646857743471,1,1,0,23.979902267456055,40.36362481551067,1,1,0,24.413108825683594,40.333116755942065,1,1,0
40,1748170893.789709,24.269819259643555,39.79454574032825,1,1,0,24.25694465637207,40.384520581710625,1,1,0,24.19877052307129,40.33148785222988,1,1,0
41,1748170893.869662,24.76215362548828,39.81449095600694,1,1,0,24.636030197143555,40.44436073163566,1,1,0,24.960041046142578,40.33217300998135,1,1,0
42,1748170893.9509661,29.056072235107422,39.66646270591918,1,1,0,29.18076515197754,40.21389608679589,1,1,0,28.72014045715332,40.14493498057505,1,1,0
43,1748170894.0453372,33.55526924133301,39.215033147421885,1,1,0,41.921138763427734,39.39182824379088,1,1,0,25.136947631835938,40.10731483107668,1,1,0
44,1748170894.152877,25.18010139465332,39.29570167661375,1,1,0,24.290084838867188,39.40687894897552,1,1,0,23.958206176757812,40.13762296080757,1,1,0
45,1748170894.233608,25.284767150878906,39.31135447823911,1,1,0,25.116920471191406,39.443158885289606,1,1,0,25.162935256958008,40.15528649017109,1,1,0
46,1748170894.316993,29.127836227416992,39.12643246406519,1,1,0,26.329994201660156,39.46008021901862,1,1,0,23.88787269592285,40.21433305997324,1,1,0
47,1748170894.403894,33.067941665649414,38.71927330465447,1,1,0,27.004718780517578,39.3255940056412,1,1,0,25.094985961914062,40.15775985600168,1,1,0
48,1748170894.4963179,26.845932006835938,38.640121089399244,1,1,0,26.35025978088379,39.27144300388847,1,1,0,23.769140243530273,40.22241877702917,1,1,0
49,1748170894.5806122,27.354955673217773,38.516437937686376,1,1,0,24.285078048706055,39.284500699651765,1,1,0,24.85513687133789,40.27513908991568,1,1,0
