frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
67,1748166608.234535,31.916141510009766,30.53141484483052,5,5,0,32.81903266906738,30.24670115627195,3,5,0
68,1748166608.299683,32.308101654052734,30.52805929904097,6,6,1,34.002065658569336,30.215933895728725,3,6,0
69,1748166608.366421,33.15401077270508,30.560363880472025,6,6,0,33.1263542175293,30.212277368077576,3,6,0
70,1748166608.433129,32.90200233459473,30.629040125954077,9,9,2,33.12182426452637,30.257196384115908,3,9,0
71,1748166608.4996421,37.810325622558594,30.477748036420476,9,7,0,34.61503982543945,30.198942897606795,3,7,0
72,1748166608.572685,32.95111656188965,30.480494454584765,7,5,0,33.56480598449707,30.1871626771496,4,5,1
73,1748166608.639731,32.32407569885254,30.459200531774933,5,5,0,33.36620330810547,30.17432068935004,4,5,0
74,1748166608.705875,32.84001350402832,30.44438761301799,7,7,2,33.01882743835449,30.196551334376288,4,7,0
75,1748166608.772181,31.91399574279785,30.449051022541603,7,6,0,32.753944396972656,30.186894722498376,4,6,0
76,1748166608.8373299,32.63735771179199,30.46620668014327,6,6,0,32.48095512390137,30.179603836863507,4,6,0
77,1748166608.902914,31.13412857055664,30.527333472267674,6,5,0,32.48715400695801,30.188922605646372,3,5,0
78,1748166608.96702,32.94491767883301,30.50979081867824,6,5,1,32.18388557434082,30.174776559288823,3,5,0
79,1748166609.032634,32.885074615478516,30.501699870191732,5,3,0,32.53483772277832,30.202465707852287,2,3,0
80,1748166609.098464,32.525062561035156,30.49602249882031,4,4,1,34.15107727050781,30.173112338858196,2,4,0
81,1748166609.165527,32.45091438293457,30.492800348186933,4,2,0,34.04593467712402,30.135982897835838,1,2,0
82,1748166609.232385,31.912803649902344,30.494662609084674,3,2,0,31.621217727661133,30.186771609794086,0,2,0
83,1748166609.296254,32.51814842224121,30.476079755220848,3,1,0,32.640933990478516,30.18585915870033,0,1,0
84,1748166609.361749,32.41109848022461,30.45979039896238,3,3,2,32.52887725830078,30.192160540972054,1,3,0
85,1748166609.4270132,32.105207443237305,30.493162436658935,4,2,0,32.267093658447266,30.195319464778642,2,2,0
86,1748166609.491738,33.263206481933594,30.46676731125206,3,3,1,34.10601615905762,30.156928328921087,2,3,0
87,1748166609.5594509,32.398223876953125,30.484747949721015,3,1,0,32.50288963317871,30.163781634076706,1,1,0
88,1748166609.624676,32.347917556762695,30.50338574677334,1,1,0,32.96804428100586,30.153300519053527,1,1,0
89,1748166609.6903229,32.071828842163086,30.4974933856599,4,4,0,33.01811218261719,30.16627648977449,2,4,0
90,1748166609.755738,32.53483772277832,30.49396053957457,4,3,0,32.65500068664551,30.20527874724633,2,3,0
91,1748166609.8213031,37.70279884338379,30.446523910838945,4,4,1,35.11214256286621,30.255726759277135,3,4,1
92,1748166609.8945,33.792734146118164,30.42641039597652,5,5,0,34.284114837646484,30.225238815406406,3,5,0
93,1748166609.962965,32.52601623535156,30.422496799486467,5,4,0,33.660173416137695,30.18961794259062,3,4,0
94,1748166610.0295439,32.613277435302734,30.414474132650867,4,3,0,32.97090530395508,30.183230738895837,3,3,0
95,1748166610.095498,32.45377540588379,30.475599973648826,5,5,0,32.646894454956055,30.203857661855093,3,5,0
96,1748166610.1609879,32.31000900268555,30.470802988644138,5,5,0,33.38193893432617,30.191023200438796,3,5,0
97,1748166610.227068,34.08098220825195,30.40400911425927,6,6,1,32.56392478942871,30.198703724236843,3,6,0
98,1748166610.294135,32.71603584289551,30.39166465994453,6,4,0,33.123016357421875,30.22541306511805,3,4,0
99,1748166610.360404,77.35705375671387,29.08925467828673,4,4,0,34.46507453918457,30.184794702139268,3,4,0
100,1748166610.472636,32.60207176208496,29.097663198263238,4,4,0,32.47499465942383,30.204611690512305,3,4,0
101,1748166610.538235,33.63919258117676,29.215603279841833,5,4,0,33.539772033691406,30.237244962326336,3,4,0
102,1748166610.60581,32.685041427612305,29.2228904875958,5,5,1,32.84406661987305,30.259015424438385,3,5,0
103,1748166610.671741,32.382965087890625,29.221241387766703,5,4,0,33.20598602294922,30.263804184145098,2,4,0
104,1748166610.737715,31.831979751586914,29.24984535805683,5,4,1,32.766103744506836,30.271383418873903,2,4,0
105,1748166610.8026948,31.953096389770508,29.248703115567707,4,3,0,32.733917236328125,30.27193690267058,2,3,0
106,1748166610.867761,32.22918510437012,29.261395175777732,3,2,0,33.04004669189453,30.254810134891276,2,2,0
107,1748166610.933441,32.74893760681152,29.21540656205421,3,3,0,32.218217849731445,30.26250859504065,2,3,0
108,1748166610.9987571,32.0589542388916,29.240438114665242,3,2,0,33.20002555847168,30.231462227466256,2,2,0
109,1748166611.064342,33.33306312561035,29.227675966566444,2,1,0,33.08415412902832,30.214678678344093,1,1,0
110,1748166611.131093,33.4010124206543,29.202720469549053,3,3,1,33.34808349609375,30.239228746477515,1,3,0
111,1748166611.198158,31.936168670654297,29.217434917435728,3,3,0,33.60795974731445,30.25266428708472,1,3,0
112,1748166611.26404,32.53602981567383,29.199799686534487,3,3,0,33.24317932128906,30.20341541256286,1,3,0
113,1748166611.3301702,31.466960906982422,29.22989614637955,4,4,0,32.485008239746094,30.20812857138056,1,4,0
114,1748166611.3946009,32.89008140563965,29.21629520483011,4,4,0,33.35285186767578,30.18302801478578,2,4,0
115,1748166611.4611998,36.402225494384766,29.094655753223428,4,3,0,32.88602828979492,30.164251647802388,2,3,0
116,1748166611.5308568,31.931161880493164,29.132182268765302,3,3,0,33.032894134521484,30.196913668092726,3,3,0
117,1748166611.596168,32.7301025390625,29.122796622722557,4,3,1,33.74123573303223,30.15929916230241,2,3,0
118,1748166611.662993,32.44304656982422,29.120215282353275,3,2,0,32.35507011413574,30.177801569074383,2,2,0
119,1748166611.7281358,32.03392028808594,29.121374469982882,3,3,1,33.20002555847168,30.17225135773683,2,3,0
120,1748166611.793719,32.013893127441406,29.136047514573335,3,2,0,33.246755599975586,30.15438443454442,2,2,0
121,1748166611.859354,37.35685348510742,29.145353943764803,3,3,1,34.28483009338379,30.179437353305037,2,3,0
122,1748166611.931329,33.373117446899414,29.15706459552661,3,3,0,33.460140228271484,30.20443768055757,2,3,0
123,1748166611.998523,32.85503387451172,29.147710175732986,3,2,0,32.42063522338867,30.24220127656005,2,2,0
124,1748166612.06414,31.843900680541992,29.1695622773235,2,2,0,33.39505195617676,30.22915991993289,2,2,0
125,1748166612.129719,31.790971755981445,29.188318745257703,3,3,1,33.308982849121094,30.208948086004995,2,3,0
126,1748166612.195157,32.028913497924805,29.196493333463273,3,2,0,32.713890075683594,30.22965376077493,2,2,0
127,1748166612.260231,31.97622299194336,29.25631294871193,2,2,0,33.31303596496582,30.206888505481956,2,2,0
128,1748166612.325858,33.55288505554199,29.232442639380693,3,3,1,32.56869316101074,30.223779552940506,2,3,0
129,1748166612.392297,32.61399269104004,30.56473621425537,3,2,0,32.099246978759766,30.295843399514514,2,2,0
130,1748166612.457352,32.343149185180664,30.573083495497585,4,4,1,32.20200538635254,30.3040663317614,2,4,0
131,1748166612.522243,33.15901756286621,30.58809630249245,4,4,0,34.81030464172363,30.26523091621093,2,4,0
132,1748166612.5905752,32.486915588378906,30.59444029750949,4,3,0,33.20193290710449,30.254548252410725,2,3,0
133,1748166612.6566222,31.660795211791992,30.616959281324934,3,3,0,33.75983238220215,30.237506545337716,2,3,0
134,1748166612.7224011,32.87768363952637,30.58440862397394,3,2,0,32.19199180603027,30.25497745107186,2,2,0
135,1748166612.7878,32.308101654052734,30.573477207620705,2,2,0,32.76801109313965,30.253871743652724,2,2,0
136,1748166612.853191,32.59921073913574,30.5608017998041,3,3,0,32.65094757080078,30.265682257422455,2,3,0
137,1748166612.9187741,31.619787216186523,30.596240597115962,4,4,1,32.36794471740723,30.261125785242385,2,4,0
138,1748166612.9831629,33.04719924926758,30.565538068243512,4,3,0,32.671451568603516,30.27731257435234,2,3,0
139,1748166613.0492349,32.71126747131348,30.584981048019948,3,3,0,32.77587890625,30.28678655982254,2,3,0
140,1748166613.115082,32.32312202453613,30.61869517650586,3,2,0,33.37812423706055,30.285802446998275,2,2,0
141,1748166613.181112,33.196210861206055,30.579294928827245,3,3,1,34.105777740478516,30.270443999286954,2,3,0
142,1748166613.248758,32.716989517211914,30.573841214642595,3,3,0,32.640933990478516,30.288696650190666,2,3,0
143,1748166613.314446,31.76283836364746,30.564476363192956,3,3,0,33.210039138793945,30.266512178008647,2,3,0
144,1748166613.379745,32.833099365234375,30.566184036775873,3,3,0,32.53602981567383,30.291401808637794,2,3,0
145,1748166613.4454558,31.80694580078125,30.709893326122167,4,4,1,32.71794319152832,30.29652908130785,2,4,0
146,1748166613.510324,32.77325630187988,30.683353767911957,4,4,0,32.41395950317383,30.315266034401553,2,4,0
147,1748166613.5758789,33.31398963928223,30.66522783036939,4,4,0,32.69195556640625,30.3473411703645,2,4,0
148,1748166613.6422331,32.341718673706055,30.668396828383493,4,4,0,33.78582000732422,30.303438692485262,2,4,0
149,1748166613.7087371,31.912803649902344,30.672246846157726,4,4,0,33.78605842590332,30.2854817129336,2,4,0
150,1748166613.774818,32.469987869262695,30.658219496161788,4,4,0,32.28402137756348,30.314857033960923,2,4,0
