frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
29,1748167628.521451,32.07516670227051,28.122782742329097,10,7,0,41.5189266204834,25.658513647353757,10,7,0,32.584190368652344,29.6606666825386,4,7,1
30,1748167628.628695,32.68599510192871,30.856246600590403,7,7,0,38.906097412109375,25.956436284063546,7,7,0,33.06889533996582,30.105570012029872,4,7,0
31,1748167628.734209,33.66708755493164,30.84187661496333,8,7,1,40.09604454040527,25.889348443068755,8,7,1,33.75101089477539,30.146076406690977,5,7,1
32,1748167628.842486,32.750844955444336,30.832399754181992,8,7,1,39.156198501586914,25.81263176422151,8,7,1,32.742977142333984,30.125095555613548,5,7,0
33,1748167628.9479702,32.4559211730957,30.794233951669625,8,8,1,40.71402549743652,25.731116034382556,8,8,1,33.215999603271484,30.12487918720913,5,8,0
34,1748167629.05514,31.660795211791992,30.777911465738878,8,7,0,41.963815689086914,25.590919888451037,8,7,0,34.7137451171875,30.054020228028083,5,7,0
35,1748167629.164275,32.295942306518555,30.76465230907653,10,10,2,41.667938232421875,25.464548619859574,10,10,2,34.00278091430664,30.01304478183682,5,10,0
36,1748167629.2731571,32.6540470123291,30.755756570505064,10,9,0,44.4340705871582,25.277383203028243,10,9,0,33.1270694732666,30.028028424091413,5,9,0
37,1748167629.3844218,32.76991844177246,30.770753713889412,9,8,0,41.70703887939453,25.292956516635215,9,8,0,32.914161682128906,30.151848194458854,6,8,1
38,1748167629.492838,33.09512138366699,30.894756006325817,9,9,1,41.16487503051758,25.271687097250382,9,9,1,32.91583061218262,30.18363619528563,6,9,0
39,1748167629.6009521,32.18579292297363,30.909661258891536,9,8,0,41.82028770446777,25.130610987883777,9,8,0,33.95891189575195,30.148416639991414,6,8,0
40,1748167629.7098398,32.70602226257324,30.937042690122897,8,7,0,39.64877128601074,25.07859562868431,8,7,0,32.93180465698242,30.1281106120984,6,7,0
41,1748167629.815974,32.620906829833984,30.90736837502938,8,8,1,40.18974304199219,24.984203828687736,8,8,1,33.78939628601074,30.12017754823439,6,8,0
42,1748167629.923389,32.31215476989746,30.894323634727986,8,7,0,40.461063385009766,24.884293062013604,8,7,0,32.89008140563965,30.122874321165277,6,7,0
43,1748167630.029855,31.831026077270508,30.915774747411707,8,8,2,39.366960525512695,24.847134650966698,8,8,2,33.11777114868164,30.132735352126574,6,8,0
44,1748167630.134961,31.814098358154297,30.922171816711806,9,9,1,43.173789978027344,24.77086250569175,9,9,1,33.917903900146484,30.09649698530636,6,9,0
45,1748167630.244725,31.6469669342041,30.98781460867852,9,7,0,39.89601135253906,24.731897904879315,9,7,0,34.52110290527344,30.027447995093627,6,7,0
46,1748167630.351713,34.623146057128906,30.896326299702597,8,8,1,41.82076454162598,24.638549191874215,8,8,1,32.53889083862305,30.062823449978605,6,8,0
47,1748167630.461539,31.093120574951172,30.921168775765775,8,7,0,39.24679756164551,24.617320557200895,8,7,0,34.2710018157959,30.014648434005835,5,7,0
48,1748167630.566944,32.66787528991699,30.890061250291524,7,7,0,38.85793685913086,24.655315958819866,7,7,0,32.57489204406738,30.032565142218303,5,7,0
49,1748167630.67177,32.52816200256348,30.849944848258545,9,9,1,41.4118766784668,24.623669885919774,9,9,1,33.37597846984863,30.025362935275954,5,9,0
50,1748167630.779867,31.76712989807129,30.908142754712706,9,8,0,41.744232177734375,24.556699968618414,9,8,0,32.34505653381348,30.04687230240694,4,8,0
51,1748167630.886623,33.650875091552734,30.858880027938238,9,9,1,42.45615005493164,24.4924863619323,9,9,1,32.49526023864746,30.113826897533777,4,9,0
52,1748167630.9961479,32.16195106506348,30.87278864713527,9,8,0,41.3360595703125,24.47177033288103,9,8,0,34.19995307922363,30.08768122855583,4,8,0
53,1748167631.104752,32.37724304199219,30.896311127022223,8,7,0,40.055036544799805,24.497383494492578,8,7,0,33.078908920288086,30.090400968217974,4,7,0
54,1748167631.211107,34.17181968688965,30.846276946248704,8,8,1,40.056705474853516,24.517784627399358,8,8,1,32.872915267944336,30.08826398852224,4,8,0
55,1748167631.3189938,31.969070434570312,30.842058047105365,8,8,0,41.1679744720459,24.515400993170008,8,8,0,33.31422805786133,30.066134968093785,4,8,0
56,1748167631.4262779,32.729148864746094,30.803921131813947,10,9,2,42.324066162109375,24.43192797472405,10,9,2,32.598018646240234,30.098224759222088,5,9,0
57,1748167631.534941,31.97622299194336,30.814504836365828,10,10,1,45.865774154663086,24.297607316792,10,10,1,33.097028732299805,30.079388339260962,5,10,0
58,1748167631.646917,32.12118148803711,30.802420539333763,10,9,0,43.94412040710449,24.28391009390179,10,9,0,33.01095962524414,30.090451338404325,5,9,0
59,1748167631.7570329,32.525062561035156,30.78813829923892,10,8,1,42.69886016845703,24.260700918010674,10,8,1,33.701181411743164,30.05629593392776,5,8,0
60,1748167631.867011,31.766176223754883,30.817259451398492,8,8,0,40.51518440246582,24.22909799653631,8,8,0,33.87093544006348,30.032127894846006,5,8,0
61,1748167631.9741068,33.8740348815918,30.810800089815473,9,8,1,41.991233825683594,24.192031819963727,9,8,1,33.7681770324707,30.0315759778171,5,8,0
62,1748167632.0845828,32.079219818115234,30.83097192850144,8,7,0,41.12577438354492,24.15368322730631,8,7,0,33.03980827331543,30.022561815939866,5,7,0
63,1748167632.1916611,32.34696388244629,30.834265947955082,7,7,0,38.472890853881836,24.19727484050417,7,7,0,32.937049865722656,30.03095240766008,4,7,0
64,1748167632.296132,32.037973403930664,30.822377550433014,8,7,1,38.82431983947754,24.25871308969444,8,7,1,32.43088722229004,30.099715123568053,4,7,0
65,1748167632.4001532,32.196760177612305,30.825367669124855,7,7,0,38.150787353515625,24.328072235719652,7,7,0,35.99905967712402,30.03955566070415,4,7,0
66,1748167632.5072472,32.655954360961914,30.82534501452963,7,6,0,38.073062896728516,24.45417807306026,7,6,0,32.939910888671875,30.045164767231324,4,6,0
67,1748167632.611583,32.28282928466797,30.840583972735192,7,7,1,39.08896446228027,24.506419955684414,7,7,1,33.05983543395996,30.040538178942878,4,7,0
68,1748167632.716686,32.399654388427734,30.86278559252401,8,8,0,39.55507278442383,24.53867916120541,8,8,0,33.06293487548828,30.036120937826727,4,8,0
69,1748167632.822418,32.912254333496094,30.839812974576276,8,8,0,41.08381271362305,24.553417569661026,8,8,0,32.633066177368164,30.076109845614756,4,8,0
70,1748167632.9298382,32.01889991760254,30.861324674541105,8,8,0,41.38374328613281,24.518582460215235,8,8,0,33.94913673400879,30.045480431379993,4,8,0
71,1748167633.037974,31.976938247680664,30.881911388444053,8,8,0,41.39876365661621,24.494350570082112,8,8,0,32.06300735473633,30.097360847468007,4,8,0
72,1748167633.144182,31.79478645324707,30.89857960816997,8,7,0,40.52090644836426,24.49316812381565,8,7,0,33.83302688598633,30.068972966411074,5,7,0
73,1748167633.251106,32.06992149353027,30.89091818329787,7,7,0,40.08316993713379,24.478854327912334,7,7,0,36.03696823120117,29.981493452418253,5,7,0
74,1748167633.3600352,33.113718032836914,30.849755759821832,7,7,0,39.15214538574219,24.559431976943678,7,7,0,32.450199127197266,30.025671018665538,5,7,0
75,1748167633.46544,32.3789119720459,30.82667414044597,7,6,0,37.38689422607422,24.610064751737415,7,6,0,33.64109992980957,30.052347768018997,4,6,0
76,1748167633.569526,32.49192237854004,30.894422244728847,6,6,0,36.69404983520508,24.714007458446176,6,6,0,32.18889236450195,30.06297428418657,4,6,0
77,1748167633.671531,32.315969467163086,30.855429421420485,6,6,0,37.71185874938965,24.745282866736385,6,6,0,32.80210494995117,30.10737807000858,4,6,0
78,1748167633.7749639,32.328128814697266,30.866290845749152,6,6,0,37.38713264465332,24.775359381082268,6,6,0,32.69791603088379,30.103834192577366,4,6,0
79,1748167633.877972,33.14089775085449,30.84684409058048,6,6,0,37.10818290710449,24.863626510664087,6,6,0,32.36985206604004,30.134315736938014,4,6,0
80,1748167633.981174,32.913923263549805,30.810664291186935,6,6,0,37.00399398803711,24.961662561906167,6,6,0,33.782005310058594,30.090847110022114,4,6,0
81,1748167634.085454,31.883716583251953,30.866677002239154,6,6,0,37.171363830566406,25.071889658206562,6,6,0,32.61089324951172,30.087415037069732,4,6,0
82,1748167634.187707,32.282114028930664,30.86286129152522,6,6,0,39.134979248046875,25.11814975177114,6,6,0,33.01501274108887,30.122932011423,4,6,0
83,1748167634.292753,31.614065170288086,30.886922096564835,6,6,0,36.94009780883789,25.183850600259667,6,6,0,33.74600410461426,30.102746706449874,4,6,0
84,1748167634.395653,32.66716003417969,30.93473053185589,6,6,0,37.72902488708496,25.233161214015723,6,6,0,32.4559211730957,30.115138617245233,4,6,0
85,1748167634.499079,32.196044921875,30.92749966265366,7,7,1,38.30885887145996,25.293866611561047,7,7,1,34.024953842163086,30.09345226663899,4,7,0
86,1748167634.604241,32.86600112915039,30.923098927575595,8,8,0,40.10486602783203,25.341302382477707,8,8,0,32.35292434692383,30.100975208564876,4,8,0
87,1748167634.710297,31.587839126586914,30.936593921849823,8,7,0,40.551185607910156,25.45550252766431,8,7,0,33.25295448303223,30.096209042272278,4,7,0
88,1748167634.816483,32.04989433288574,30.93892157323168,7,6,0,37.45102882385254,25.596557754582562,7,6,0,32.56082534790039,30.10987080877502,4,6,0
