,mean,max,sum
lm0,0.008832636191856908,1.0283915559449108,8.85913410043248
lm1,0.09144990074842976,5.841480612782662,91.63280054992663
lm2,0.042022411164275145,2.9282011924273967,42.10645598660369
lm3,0.07021809316130088,6.1752420463927296,70.35852934762349
lm4,0.08718780231830736,6.359308867338199,87.36217792294397
lm5,0.008842701908549445,1.063999624985384,8.869230014275093
lm6,0.08745034109217932,6.312645653983965,87.62524177436367
lm7,0.04167435128104102,3.0301595673214012,41.7576999836031
lm8,0.0711279836339922,6.266561916205284,71.27023960126019
lm9,0.08822089659105303,6.6786850980860875,88.39733838423514
lm10,0.009069807233551833,1.0734892348806466,9.097016655252489
lm11,0.0886908086801679,6.755065300583164,88.86819029752824
lm12,0.039194973580107276,1.73541185252021,39.27336352726749
lm13,0.060597783446684136,5.850171621114923,60.7189790135775
lm14,0.08221138148477586,6.6326473303305225,82.3758042477454
lm15,0.008351361585747827,0.9731113235011288,8.37641567050507
lm16,0.08188112925927665,5.599395519697583,82.04489151779521
lm17,0.04267597038951045,3.30599194355,42.761322330289474
lm18,0.062282454592484104,5.629558384138086,62.407019501669076
lm19,0.08101540555874105,4.199446144723885,81.17743636985854
lm20,0.007494252611120733,0.8316662830644982,7.516735368954095
lm21,0.08825241843513712,4.872049204660902,88.4289232720074
lm22,0.08308275355196727,1.3265084909349052,83.24891905907121
lm23,0.09242963034470586,5.775532929169468,92.61448960539528
lm24,0.14073344401172633,4.460787892572804,141.0149108997498
lm25,0.020482800910941963,0.5946835409642427,20.54424931367479
lm26,0.2663695241558447,15.22667208096447,266.9022632041564
lm27,0.11616701181006857,2.2358358535983434,116.3993458336887
lm28,0.2599626566641039,9.596911455901637,260.4825819774321
lm29,0.3193478286902594,19.06070608792502,319.98652434763994
lm30,0.020000900329730963,0.530623501328463,20.060903030720155
lm31,0.36383390652196435,11.300046769358627,364.5615743350083
lm32,0.11916444506178822,2.256390731437203,119.4027739519118
lm33,0.2774861741644801,19.073304812522444,278.04114651280906
lm34,0.38035918869191465,13.584213985277367,381.1199070692985
lm35,0.020518722174533238,0.6999826874336457,20.58027834105684
lm36,0.30845582459949933,18.165728141784946,309.07273624869833
lm37,0.12751539823646132,2.3718570074305414,127.77042903293426
lm38,0.30849057615875164,12.689319359942765,309.1075573110691
lm39,0.08487914824407158,3.481453699564879,85.04890654055973
lm40,0.0066486498276357294,0.49794520800274816,6.668595777118637
lm41,0.09338927054176198,3.6993869973299014,93.5760490828455
lm42,0.09077798620982218,2.077482365782869,90.95954218224182
lm43,0.2007384855119941,9.333296658757966,201.1399624830181
lm44,0.256786447043944,9.218361960013299,257.3000199380319
lm45,0.02138619643744264,1.574035027128532,21.45035502675497
lm46,0.3821296527700049,16.096929023958264,382.8939120755449
lm47,0.13497688165336663,6.8111297293176225,135.24683541667338
lm48,0.351154545310875,15.150841096917022,351.8568544014967
lm49,0.4176253903347755,17.583606200494717,418.46064111544507
lm50,0.0215574484920119,1.6367560550273126,21.622120837487934
lm51,0.42462048771133976,15.76886316141559,425.46972868676244
lm52,0.15317030498919212,7.122102153594132,153.4766455991705
lm53,0.39738731211379913,18.724420353085936,398.1820867380267
lm54,0.4892064869865633,17.260645025544417,490.1848999605364
