Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Notes
72,13.031,251.3,7.9,259.2,1,1,5.5,0.0,0.0,0.0,Yes,
73,13.237,137.6,40.1,177.8,1,1,5.5,0.0,0.0,0.0,Yes,
74,13.526,250.8,12.2,263.0,1,1,5.5,0.0,0.0,0.0,Yes,
75,13.818,256.7,10.1,266.8,1,1,5.4,0.0,0.0,0.0,Yes,
76,14.112,257.3,8.8,266.1,1,1,5.4,0.0,0.0,0.0,Yes,
77,14.391,245.4,8.1,253.5,1,1,5.4,0.0,0.0,0.0,Yes,
78,14.678,252.2,9.8,262.0,1,1,5.3,0.0,0.0,0.0,Yes,
79,14.861,99.3,56.1,155.4,1,1,5.3,0.0,0.0,0.0,Yes,
80,15.152,229.3,37.4,266.7,1,1,5.3,0.0,0.0,0.0,Yes,
81,15.435,250.0,7.9,257.9,1,1,5.2,0.0,0.0,0.0,Yes,
82,15.720,250.5,8.4,258.9,1,1,5.2,0.0,0.0,0.0,Yes,
83,16.032,247.2,38.9,286.1,1,1,5.2,0.0,0.0,0.0,Yes,
84,16.306,234.6,14.1,248.7,1,1,5.2,0.0,0.0,0.0,Yes,
85,16.609,259.2,16.2,275.4,1,1,5.1,0.0,0.0,0.0,Yes,
86,16.884,215.7,30.8,246.5,1,1,5.1,0.0,0.0,0.0,Yes,
87,17.124,148.4,67.3,215.8,1,1,5.1,0.0,0.0,0.0,Yes,
88,17.325,105.9,66.2,172.1,1,1,5.1,0.0,0.0,0.0,Yes,
89,17.565,167.6,45.0,212.6,1,1,5.1,0.0,0.0,0.0,Yes,
90,17.803,134.5,79.4,214.0,1,1,5.1,0.0,0.0,0.0,Yes,
91,18.038,174.7,33.2,207.8,1,1,5.0,0.0,0.0,0.0,Yes,
92,18.244,125.3,54.4,179.7,1,1,5.0,0.0,0.0,0.0,Yes,
93,18.488,167.1,53.7,220.8,1,1,5.0,0.0,0.0,0.0,Yes,
94,18.746,174.0,57.7,231.7,1,1,5.0,0.0,0.0,0.0,Yes,
95,18.979,161.7,46.5,208.3,1,1,5.0,0.0,0.0,0.0,Yes,
96,19.247,191.0,52.7,243.7,1,1,5.0,0.0,0.0,0.0,Yes,
97,19.433,116.6,44.8,161.4,1,1,5.0,0.0,0.0,0.0,Yes,
98,19.705,213.7,32.9,246.6,1,1,5.0,0.0,0.0,0.0,Yes,
99,19.977,208.8,38.4,247.2,1,1,5.0,0.0,0.0,0.0,Yes,
100,20.249,185.4,60.1,245.4,1,1,4.9,0.0,0.0,0.0,Yes,
101,20.522,217.4,30.8,248.2,1,1,4.9,0.0,0.0,0.0,Yes,
102,20.792,196.3,49.4,245.7,1,1,4.9,0.0,0.0,0.0,Yes,
103,21.053,160.0,76.7,236.7,1,1,4.9,0.0,0.0,0.0,Yes,
104,21.250,121.1,50.7,171.8,1,1,4.9,0.0,0.0,0.0,Yes,
105,21.455,130.3,50.1,180.4,1,1,4.9,0.0,0.0,0.0,Yes,
106,21.724,162.8,80.5,243.3,1,1,4.9,0.0,0.0,0.0,Yes,
107,21.964,150.9,64.1,215.0,1,1,4.9,0.0,0.0,0.0,Yes,
108,22.235,184.3,62.2,246.5,1,1,4.9,0.0,0.0,0.0,Yes,
109,22.439,140.8,38.8,179.5,1,1,4.9,0.0,0.0,0.0,Yes,
110,22.696,192.6,38.9,231.5,1,1,4.8,0.0,0.0,0.0,Yes,
111,22.933,150.1,60.9,211.0,1,1,4.8,0.0,0.0,0.0,Yes,
112,23.119,125.7,36.3,162.0,1,1,4.8,0.0,0.0,0.0,Yes,
113,23.394,225.6,23.0,248.6,1,1,4.8,0.0,0.0,0.0,Yes,
114,23.663,178.9,66.3,245.2,1,1,4.8,0.0,0.0,0.0,Yes,
115,23.932,183.2,61.5,244.7,1,1,4.8,0.0,0.0,0.0,Yes,
116,24.216,248.5,10.8,259.3,1,1,4.8,0.0,0.0,0.0,Yes,
117,24.493,213.3,38.8,252.1,1,1,4.8,0.0,0.0,0.0,Yes,
118,24.766,202.5,46.1,248.6,1,1,4.8,0.0,0.0,0.0,Yes,
119,25.057,245.2,20.9,266.2,1,1,4.7,0.0,0.0,0.0,Yes,
120,25.329,218.2,29.2,247.4,1,1,4.7,0.0,0.0,0.0,Yes,
121,25.598,152.3,91.8,244.2,1,1,4.7,0.0,0.0,0.0,Yes,
122,25.818,131.5,62.9,194.4,1,1,4.7,0.0,0.0,0.0,Yes,
123,26.097,222.4,30.9,253.3,1,1,4.7,0.0,0.0,0.0,Yes,
124,26.376,216.4,38.2,254.6,1,1,4.7,0.0,0.0,0.0,Yes,
125,26.586,148.7,36.7,185.5,1,1,4.7,0.0,0.0,0.0,Yes,
126,26.861,210.8,39.2,250.0,1,1,4.7,0.0,0.0,0.0,Yes,
127,27.124,201.1,37.5,238.6,1,1,4.7,0.0,0.0,0.0,Yes,
128,27.409,223.3,37.9,261.2,1,1,4.7,0.0,0.0,0.0,Yes,
129,27.656,156.6,65.8,222.4,1,1,4.7,0.0,0.0,0.0,Yes,
130,27.899,143.9,75.6,219.6,1,1,4.7,0.0,0.0,0.0,Yes,
131,28.098,133.1,42.4,175.4,1,1,4.7,0.0,0.0,0.0,Yes,
132,28.364,174.3,68.1,242.4,1,1,4.7,0.0,0.0,0.0,Yes,
133,28.634,185.2,60.2,245.5,1,1,4.6,0.0,0.0,0.0,Yes,
134,28.904,179.2,65.4,244.6,1,1,4.6,0.0,0.0,0.0,Yes,
135,29.134,169.4,36.4,205.8,1,1,4.6,0.0,0.0,0.0,Yes,
136,29.404,178.0,66.4,244.4,1,1,4.6,0.0,0.0,0.0,Yes,
137,29.677,228.8,20.9,249.7,1,1,4.6,0.0,0.0,0.0,Yes,
138,29.930,169.7,58.8,228.5,1,1,4.6,0.0,0.0,0.0,Yes,
139,30.156,134.6,67.0,201.6,1,1,4.6,0.0,0.0,0.0,Yes,
140,30.391,173.5,37.8,211.3,1,1,4.6,0.0,0.0,0.0,Yes,
141,30.625,155.6,53.1,208.7,1,1,4.6,0.0,0.0,0.0,Yes,
142,30.898,207.8,40.5,248.4,1,1,4.6,0.0,0.0,0.0,Yes,
143,31.174,233.3,18.7,252.0,1,1,4.6,0.0,0.0,0.0,Yes,
144,31.398,159.1,40.0,199.1,1,1,4.6,0.0,0.0,0.0,Yes,
145,31.649,165.6,61.4,227.0,1,1,4.6,0.0,0.0,0.0,Yes,
146,31.909,183.6,51.5,235.2,1,1,4.6,0.0,0.0,0.0,Yes,
147,32.152,172.1,46.3,218.4,1,1,4.6,0.0,0.0,0.0,Yes,
148,32.430,245.1,9.3,254.4,1,1,4.6,0.0,0.0,0.0,Yes,
149,32.705,186.8,63.7,250.5,1,1,4.6,0.0,0.0,0.0,Yes,
150,32.976,209.6,37.7,247.3,1,1,4.5,0.0,0.0,0.0,Yes,
151,33.250,237.8,12.0,249.7,1,1,4.5,0.0,0.0,0.0,Yes,
152,33.424,114.3,34.8,149.2,1,1,4.5,0.0,0.0,0.0,Yes,
153,33.680,128.7,103.9,232.7,1,1,4.5,0.0,0.0,0.0,Yes,
154,33.907,153.0,49.4,202.4,1,1,4.5,0.0,0.0,0.0,Yes,
155,34.189,245.8,12.8,258.6,1,1,4.5,0.0,0.0,0.0,Yes,
156,34.456,193.1,50.6,243.8,1,1,4.5,0.0,0.0,0.0,Yes,
157,34.734,241.9,11.7,253.5,1,1,4.5,0.0,0.0,0.0,Yes,
158,34.984,164.3,60.0,224.3,1,1,4.5,0.0,0.0,0.0,Yes,
159,35.221,149.3,65.0,214.3,1,1,4.5,0.0,0.0,0.0,Yes,
160,35.488,168.6,74.1,242.7,1,1,4.5,0.0,0.0,0.0,Yes,
161,35.675,128.7,34.1,162.8,1,1,4.5,0.0,0.0,0.0,Yes,
162,35.931,173.4,58.6,231.9,1,1,4.5,0.0,0.0,0.0,Yes,
163,36.204,227.5,21.6,249.1,1,1,4.5,0.0,0.0,0.0,Yes,
164,36.444,168.9,45.8,214.7,1,1,4.5,0.0,0.0,0.0,Yes,
165,36.657,148.4,40.6,189.0,1,1,4.5,0.0,0.0,0.0,Yes,
166,36.927,200.7,46.8,247.5,1,1,4.5,0.0,0.0,0.0,Yes,
167,37.193,201.6,40.4,242.0,1,1,4.5,0.0,0.0,0.0,Yes,
168,37.460,162.2,81.2,243.3,1,1,4.5,0.0,0.0,0.0,Yes,
169,37.730,207.9,39.4,247.3,1,1,4.5,0.0,0.0,0.0,Yes,
170,37.989,164.9,68.0,232.9,1,1,4.5,0.0,0.0,0.0,Yes,
171,38.256,184.4,58.4,242.8,1,1,4.5,0.0,0.0,0.0,Yes,
172,38.490,156.8,52.6,209.4,1,1,4.5,0.0,0.0,0.0,Yes,
173,38.707,149.1,43.9,193.0,1,1,4.5,0.0,0.0,0.0,Yes,
174,38.933,133.7,69.0,202.7,1,1,4.5,0.0,0.0,0.0,Yes,
175,39.199,186.4,56.1,242.5,1,1,4.5,0.0,0.0,0.0,Yes,
176,39.426,149.3,54.4,203.7,1,1,4.5,0.0,0.0,0.0,Yes,
177,39.696,208.7,38.2,246.9,1,1,4.5,0.0,0.0,0.0,Yes,
178,39.974,245.5,8.2,253.7,1,1,4.5,0.0,0.0,0.0,Yes,
179,40.248,240.1,10.7,250.8,1,1,4.4,0.0,0.0,0.0,Yes,
180,40.523,201.2,50.5,251.6,1,1,4.4,0.0,0.0,0.0,Yes,
181,40.724,128.5,47.6,176.1,1,1,4.4,0.0,0.0,0.0,Yes,
182,40.989,191.1,49.2,240.3,1,1,4.4,0.0,0.0,0.0,Yes,
183,41.261,199.1,47.2,246.3,1,1,4.4,0.0,0.0,0.0,Yes,
184,41.499,170.7,44.3,215.1,1,1,4.4,0.0,0.0,0.0,Yes,
185,41.757,184.4,49.5,233.9,1,1,4.4,0.0,0.0,0.0,Yes,
186,42.005,176.1,48.2,224.2,1,1,4.4,0.0,0.0,0.0,Yes,
187,42.211,135.0,47.2,182.2,1,1,4.4,0.0,0.0,0.0,Yes,
188,42.481,220.2,26.5,246.7,1,1,4.4,0.0,0.0,0.0,Yes,
189,42.689,132.4,51.4,183.7,1,1,4.4,0.0,0.0,0.0,Yes,
190,42.898,143.8,41.1,184.9,1,1,4.4,0.0,0.0,0.0,Yes,
191,43.149,164.8,61.7,226.5,1,1,4.4,0.0,0.0,0.0,Yes,
192,43.376,151.3,52.0,203.4,1,1,4.4,0.0,0.0,0.0,Yes,
193,43.621,164.8,56.6,221.4,1,1,4.4,0.0,0.0,0.0,Yes,
194,43.890,189.8,52.3,242.1,1,1,4.4,0.0,0.0,0.0,Yes,
195,44.090,126.6,50.2,176.8,1,1,4.4,0.0,0.0,0.0,Yes,
196,44.361,211.2,35.6,246.8,1,1,4.4,0.0,0.0,0.0,Yes,
197,44.606,182.1,38.3,220.4,1,1,4.4,0.0,0.0,0.0,Yes,
198,44.833,157.7,45.2,202.9,1,1,4.4,0.0,0.0,0.0,Yes,
199,45.041,133.3,51.4,184.6,1,1,4.4,0.0,0.0,0.0,Yes,
200,45.311,191.4,54.9,246.3,1,1,4.4,0.0,0.0,0.0,Yes,
201,45.540,171.5,33.9,205.3,1,1,4.4,0.0,0.0,0.0,Yes,
202,45.809,202.6,42.1,244.7,1,1,4.4,0.0,0.0,0.0,Yes,
203,46.082,223.8,25.9,249.8,1,1,4.4,0.0,0.0,0.0,Yes,
204,46.357,198.9,53.4,252.3,1,1,4.4,0.0,0.0,0.0,Yes,
205,46.621,183.0,57.4,240.4,1,1,4.4,0.0,0.0,0.0,Yes,
206,46.832,155.0,29.6,184.7,1,1,4.4,0.0,0.0,0.0,Yes,
207,47.041,137.0,48.0,185.1,1,1,4.4,0.0,0.0,0.0,Yes,
208,47.289,159.4,64.8,224.2,1,1,4.4,0.0,0.0,0.0,Yes,
209,47.524,177.6,34.0,211.6,1,1,4.4,0.0,0.0,0.0,Yes,
210,47.756,165.3,43.0,208.3,1,1,4.4,0.0,0.0,0.0,Yes,
211,47.947,133.7,34.1,167.8,1,1,4.4,0.0,0.0,0.0,Yes,
212,48.109,91.7,44.9,136.6,1,1,4.4,0.0,0.0,0.0,Yes,
213,48.259,92.8,33.2,126.0,1,1,4.4,0.0,0.0,0.0,Yes,
214,48.440,112.0,45.0,157.1,1,1,4.4,0.0,0.0,0.0,Yes,
215,48.581,92.4,25.7,118.1,1,1,4.4,0.0,0.0,0.0,Yes,
216,48.756,121.1,30.4,151.5,1,1,4.4,0.0,0.0,0.0,Yes,
217,48.958,140.3,37.3,177.6,1,1,4.4,0.0,0.0,0.0,Yes,
218,49.181,137.8,59.4,197.2,1,1,4.4,0.0,0.0,0.0,Yes,
219,49.450,198.5,47.6,246.2,1,1,4.4,0.0,0.0,0.0,Yes,
220,49.640,110.2,55.9,166.0,1,1,4.4,0.0,0.0,0.0,Yes,
221,49.913,241.3,9.1,250.4,1,1,4.4,0.0,0.0,0.0,Yes,
222,50.149,152.8,59.8,212.5,1,1,4.4,0.0,0.0,0.0,Yes,
223,50.422,218.0,32.0,250.0,1,1,4.4,0.0,0.0,0.0,Yes,
224,50.688,176.2,66.5,242.7,1,1,4.4,0.0,0.0,0.0,Yes,
225,50.960,227.2,20.9,248.1,1,1,4.4,0.0,0.0,0.0,Yes,
226,51.220,175.7,59.3,235.0,1,1,4.4,0.0,0.0,0.0,Yes,
227,51.490,180.2,66.4,246.6,1,1,4.4,0.0,0.0,0.0,Yes,
228,51.765,229.5,21.8,251.3,1,1,4.4,0.0,0.0,0.0,Yes,
229,51.939,115.4,35.0,150.4,1,1,4.4,0.0,0.0,0.0,Yes,
230,52.188,157.6,66.0,223.6,1,1,4.4,0.0,0.0,0.0,Yes,
231,52.451,189.7,48.2,238.0,1,1,4.4,0.0,0.0,0.0,Yes,
232,52.730,195.1,59.1,254.1,1,1,4.4,0.0,0.0,0.0,Yes,
233,53.015,240.4,21.1,261.6,1,1,4.4,0.0,0.0,0.0,Yes,
