# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,deepsort

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,1920x1080,FPS,28.09
# Stay Threshold (s),4.0
# Move Threshold (px),20.0

1,0.144,86.5,39.1,0.0,144.0,1,0,6.9,yolov8n,deepsort,
2,0.223,38.2,35.5,0.0,76.2,1,0,9.0,yolov8n,deepsort,
3,0.299,38.8,32.4,0.0,75.5,1,1,10.0,yolov8n,deepsort,
4,0.374,36.6,34.8,0.0,73.4,1,1,10.7,yolov8n,deepsort,
5,0.447,37.1,32.2,0.0,72.2,1,1,11.2,yolov8n,deepsort,
6,0.522,37.1,34.3,0.0,73.6,1,1,11.5,yolov8n,deepsort,
7,0.600,38.8,35.7,0.0,76.9,1,1,11.7,yolov8n,deepsort,
8,0.732,75.8,53.4,0.0,131.6,1,1,10.9,yolov8n,deepsort,
9,0.877,83.3,58.1,0.0,143.9,1,1,10.3,yolov8n,deepsort,
10,0.964,47.0,36.5,0.0,85.9,1,1,10.4,yolov8n,deepsort,
11,1.048,42.7,37.3,0.0,82.7,1,1,10.5,yolov8n,deepsort,
12,1.145,47.9,45.4,0.0,95.5,1,1,10.5,yolov8n,deepsort,
13,1.243,48.0,46.3,0.0,97.0,1,1,10.5,yolov8n,deepsort,
14,1.332,47.4,38.1,0.0,88.2,1,1,10.5,yolov8n,deepsort,
15,1.420,43.3,41.4,0.0,87.0,1,1,10.6,yolov8n,deepsort,
16,1.546,71.4,47.6,0.0,124.7,1,1,10.3,yolov8n,deepsort,
17,1.661,51.1,59.2,0.0,113.0,1,1,10.2,yolov8n,deepsort,
18,1.798,80.3,44.0,0.0,134.6,1,1,10.0,yolov8n,deepsort,
19,1.917,69.5,44.7,0.0,117.3,1,1,9.9,yolov8n,deepsort,
20,2.043,62.4,56.6,0.0,123.4,1,1,9.8,yolov8n,deepsort,
21,2.158,59.4,47.5,0.0,109.4,1,1,9.7,yolov8n,deepsort,
22,2.290,74.2,52.2,0.0,131.1,1,1,9.6,yolov8n,deepsort,
23,2.373,41.7,38.1,0.0,82.3,1,1,9.7,yolov8n,deepsort,
24,2.480,53.0,47.8,0.0,104.5,1,1,9.7,yolov8n,deepsort,
25,2.603,60.4,58.7,0.0,121.7,1,1,9.6,yolov8n,deepsort,
26,2.698,50.9,37.8,0.0,91.7,1,1,9.6,yolov8n,deepsort,
