# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolov8n-pose.pt,Task,pose
# Tracker,deepsort
# Device,mps

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28.089349711378

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
51,5.198,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
52,5.296,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
53,5.391,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
54,5.488,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
55,5.588,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
56,5.685,0.0,0.0,0.0,1,1,9.9,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
57,5.792,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
58,5.898,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
59,6.004,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
60,6.105,0.0,0.0,0.0,1,1,9.8,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
61,6.126,0.0,0.0,0.0,0,0,10.0,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,Skipped Frame
62,6.129,0.0,0.0,0.0,0,0,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,Skipped Frame
63,6.210,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
64,6.322,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
65,6.428,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
66,6.525,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
67,6.619,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
68,6.713,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
69,6.808,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
70,6.902,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
71,6.996,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
72,7.090,0.0,0.0,0.0,1,1,10.2,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
73,7.197,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
74,7.301,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
75,7.405,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
76,7.509,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
77,7.602,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
78,7.705,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
79,7.800,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
80,7.896,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
81,7.991,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
82,8.087,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
83,8.186,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
84,8.282,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
85,8.378,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
86,8.485,0.0,0.0,0.0,1,1,10.1,0.0,0.0,0.0,Yes,yolov8n-pose,deepsort,
