# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,strongsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.096,66.8,16.0,82.9,1,0,10.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
2,0.284,38.5,11.6,50.1,1,0,7.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
3,0.381,47.8,22.2,69.9,1,1,7.9,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
4,0.554,125.5,17.3,142.8,1,1,7.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
5,0.629,35.4,13.3,48.6,1,1,8.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
6,0.735,57.6,10.8,68.4,1,1,8.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
7,0.819,35.3,10.9,46.2,1,1,8.5,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
8,0.890,33.9,11.1,45.0,1,1,9.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
9,0.959,33.4,12.1,45.5,1,1,9.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
10,1.026,33.4,10.8,44.1,1,1,9.7,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
11,1.096,33.8,12.3,46.1,1,1,10.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
12,1.169,36.2,13.1,49.2,1,1,10.3,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
