# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,bytetrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4
# Resolution,640x480,FPS,30,Total Frames,900

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
52,2.969,34.9,0.7,35.6,8,7,17.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
53,3.019,35.4,0.6,36.1,7,7,17.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
54,3.069,34.8,0.7,35.5,7,7,17.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
55,3.118,34.2,0.7,34.9,8,7,17.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
56,3.166,34.2,0.7,34.9,7,6,17.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
57,3.217,35.6,0.7,36.3,8,7,17.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
58,3.266,34.3,0.6,34.9,5,5,17.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
59,3.315,34.7,0.7,35.3,8,7,17.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
60,3.365,35.1,0.7,35.8,7,7,17.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
61,3.416,36.4,0.7,37.1,8,7,17.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
62,3.467,34.9,0.7,35.6,7,7,17.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
63,3.519,37.3,0.7,38.0,8,7,17.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
64,3.570,36.6,0.7,37.3,7,6,17.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
65,3.621,36.4,0.6,37.0,5,5,18.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
