# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

67,3.698,52.7,0.9,0.0,54.2,9,9,18.1,yolov8n,bytetrack,
68,3.748,48.5,0.9,0.0,50.1,10,9,18.1,yolov8n,bytetrack,
69,3.799,49.2,0.9,0.0,50.8,11,9,18.2,yolov8n,bytetrack,
70,3.850,49.0,1.0,0.0,50.9,11,9,18.2,yolov8n,bytetrack,
71,3.902,50.1,0.9,0.0,51.7,14,10,18.2,yolov8n,bytetrack,
72,3.954,49.7,1.0,0.0,51.5,13,9,18.2,yolov8n,bytetrack,
73,4.006,50.0,1.0,0.0,51.7,12,9,18.2,yolov8n,bytetrack,
74,4.057,49.4,1.0,0.0,51.1,12,9,18.2,yolov8n,bytetrack,
75,4.109,49.1,1.0,0.0,50.9,13,11,18.3,yolov8n,bytetrack,
76,4.160,49.6,1.0,0.0,51.3,13,9,18.3,yolov8n,bytetrack,
77,4.212,49.7,1.1,0.0,51.6,14,11,18.3,yolov8n,bytetrack,
78,4.264,49.8,1.0,0.0,51.4,12,11,18.3,yolov8n,bytetrack,
79,4.315,49.4,1.0,0.0,51.3,13,10,18.3,yolov8n,bytetrack,
80,4.366,49.3,0.9,0.0,51.1,13,10,18.3,yolov8n,bytetrack,
81,4.418,49.7,1.0,0.0,51.4,12,10,18.3,yolov8n,bytetrack,
82,4.523,103.1,1.1,0.0,105.0,12,12,18.1,yolov8n,bytetrack,
83,4.589,62.9,1.1,0.0,65.0,12,12,18.1,yolov8n,bytetrack,
84,4.648,57.2,1.1,0.0,59.1,13,12,18.1,yolov8n,bytetrack,
85,4.699,48.5,1.1,0.0,50.4,12,12,18.1,yolov8n,bytetrack,
86,4.750,48.7,1.1,0.0,50.5,13,12,18.1,yolov8n,bytetrack,
87,4.801,49.4,1.0,0.0,51.3,13,12,18.1,yolov8n,bytetrack,
88,4.854,50.3,1.0,0.0,52.2,14,12,18.1,yolov8n,bytetrack,
89,4.908,52.5,1.0,0.0,54.4,13,12,18.1,yolov8n,bytetrack,
90,4.960,50.1,1.0,0.0,51.8,12,11,18.1,yolov8n,bytetrack,
91,5.013,50.6,1.0,0.0,52.4,12,12,18.2,yolov8n,bytetrack,
92,5.065,49.5,1.0,0.0,51.2,12,12,18.2,yolov8n,bytetrack,
93,5.115,48.1,1.0,0.0,49.9,12,12,18.2,yolov8n,bytetrack,
94,5.168,50.7,1.0,0.0,52.4,13,12,18.2,yolov8n,bytetrack,
95,5.220,50.6,1.0,0.0,52.4,12,12,18.2,yolov8n,bytetrack,
96,5.271,49.0,1.0,0.0,50.8,15,12,18.2,yolov8n,bytetrack,
97,5.322,49.0,1.0,0.0,50.8,13,10,18.2,yolov8n,bytetrack,
98,5.375,51.1,1.0,0.0,52.8,12,10,18.2,yolov8n,bytetrack,
99,5.427,49.8,0.9,0.0,51.5,12,10,18.2,yolov8n,bytetrack,
100,5.478,48.8,1.1,0.0,50.6,12,10,18.3,yolov8n,bytetrack,
101,5.530,50.2,0.9,0.0,52.0,12,10,18.3,yolov8n,bytetrack,
102,5.582,49.2,0.9,0.0,50.9,13,10,18.3,yolov8n,bytetrack,
103,5.633,49.8,0.9,0.0,51.4,11,10,18.3,yolov8n,bytetrack,
104,5.684,48.5,0.9,0.0,50.1,11,10,18.3,yolov8n,bytetrack,
105,5.735,49.2,1.0,0.0,51.0,11,11,18.3,yolov8n,bytetrack,
106,5.787,50.6,1.0,0.0,52.2,11,11,18.3,yolov8n,bytetrack,
107,5.841,51.5,0.9,0.0,53.2,11,11,18.3,yolov8n,bytetrack,
108,5.895,51.8,1.1,0.0,53.7,12,11,18.3,yolov8n,bytetrack,
109,5.946,49.7,0.9,0.0,51.3,11,11,18.3,yolov8n,bytetrack,
110,5.997,49.3,0.9,0.0,50.8,10,10,18.3,yolov8n,bytetrack,
111,6.048,48.9,0.9,0.0,50.4,10,9,18.4,yolov8n,bytetrack,
112,6.099,49.2,0.9,0.0,50.8,10,9,18.4,yolov8n,bytetrack,3 notifications
113,6.151,49.5,0.9,0.0,51.1,11,10,18.4,yolov8n,bytetrack,
114,6.201,48.8,1.0,0.0,50.6,11,10,18.4,yolov8n,bytetrack,
115,6.253,49.2,1.0,0.0,51.1,12,11,18.4,yolov8n,bytetrack,
116,6.305,50.2,1.0,0.0,52.1,12,11,18.4,yolov8n,bytetrack,
117,6.358,50.8,1.0,0.0,52.7,13,12,18.4,yolov8n,bytetrack,
118,6.409,49.0,1.0,0.0,50.9,13,12,18.4,yolov8n,bytetrack,
119,6.524,112.7,1.0,0.0,114.6,14,12,18.2,yolov8n,bytetrack,
120,6.577,51.1,1.0,0.0,53.0,13,12,18.2,yolov8n,bytetrack,
121,6.630,50.1,1.0,0.0,51.8,13,11,18.3,yolov8n,bytetrack,
122,6.680,48.5,0.9,0.0,50.2,15,11,18.3,yolov8n,bytetrack,
123,6.731,49.1,1.0,0.0,50.8,12,11,18.3,yolov8n,bytetrack,
124,6.783,49.9,1.0,0.0,51.7,12,11,18.3,yolov8n,bytetrack,
125,6.835,49.6,1.0,0.0,51.3,13,11,18.3,yolov8n,bytetrack,
126,6.887,49.5,1.0,0.0,51.5,12,11,18.3,yolov8n,bytetrack,
127,6.939,50.0,1.0,0.0,51.9,13,11,18.3,yolov8n,bytetrack,
128,6.991,49.8,1.0,0.0,51.5,14,11,18.3,yolov8n,bytetrack,
129,7.044,50.4,0.9,0.0,52.0,12,10,18.3,yolov8n,bytetrack,
130,7.097,51.1,0.9,0.0,52.8,11,10,18.3,yolov8n,bytetrack,
131,7.147,48.9,0.9,0.0,50.6,12,10,18.3,yolov8n,bytetrack,
132,7.199,49.6,0.9,0.0,51.2,12,10,18.3,yolov8n,bytetrack,
133,7.250,48.9,0.9,0.0,50.5,10,10,18.3,yolov8n,bytetrack,
134,7.301,50.0,0.9,0.0,51.6,11,10,18.4,yolov8n,bytetrack,
135,7.353,49.9,0.9,0.0,51.6,10,10,18.4,yolov8n,bytetrack,
136,7.404,48.9,0.9,0.0,50.4,10,10,18.4,yolov8n,bytetrack,
137,7.457,51.2,0.9,0.0,52.7,10,10,18.4,yolov8n,bytetrack,
138,7.508,49.2,0.9,0.0,50.8,11,10,18.4,yolov8n,bytetrack,
139,7.560,49.8,0.9,0.0,51.3,11,9,18.4,yolov8n,bytetrack,
140,7.612,50.7,1.0,0.0,52.4,11,9,18.4,yolov8n,bytetrack,
141,7.664,49.7,0.9,0.0,51.3,11,10,18.4,yolov8n,bytetrack,
142,7.716,49.9,0.9,0.0,51.6,11,9,18.4,yolov8n,bytetrack,1 notifications
143,7.766,49.0,0.8,0.0,50.5,10,9,18.4,yolov8n,bytetrack,
144,7.819,51.0,0.9,0.0,52.6,12,9,18.4,yolov8n,bytetrack,
145,7.871,49.8,1.0,0.0,51.5,14,10,18.4,yolov8n,bytetrack,
146,7.922,49.2,1.0,0.0,50.9,13,10,18.4,yolov8n,bytetrack,
147,7.974,50.2,0.9,0.0,51.9,11,11,18.4,yolov8n,bytetrack,
148,8.030,53.1,1.0,0.0,54.8,12,11,18.4,yolov8n,bytetrack,
149,8.081,49.0,1.0,0.0,50.8,12,11,18.4,yolov8n,bytetrack,
150,8.132,49.4,0.9,0.0,51.1,12,11,18.4,yolov8n,bytetrack,
151,8.185,50.6,1.0,0.0,52.4,14,11,18.4,yolov8n,bytetrack,
152,8.238,51.3,1.1,0.0,53.2,15,12,18.5,yolov8n,bytetrack,
153,8.291,49.9,1.1,0.0,51.9,15,14,18.5,yolov8n,bytetrack,
154,8.344,51.5,1.0,0.1,53.6,14,14,18.5,yolov8n,bytetrack,
155,8.397,50.3,1.0,0.0,52.0,13,13,18.5,yolov8n,bytetrack,
156,8.448,49.7,1.0,0.0,51.5,13,12,18.5,yolov8n,bytetrack,
157,8.499,48.9,1.1,0.0,50.8,14,11,18.5,yolov8n,bytetrack,
158,8.552,50.1,1.0,0.0,52.0,12,11,18.5,yolov8n,bytetrack,1 notifications
159,8.603,49.4,0.9,0.0,51.1,12,10,18.5,yolov8n,bytetrack,
160,8.655,50.0,1.0,0.0,51.8,13,11,18.5,yolov8n,bytetrack,
161,8.707,50.1,1.0,0.0,51.9,11,11,18.5,yolov8n,bytetrack,
162,8.758,48.9,1.0,0.0,50.8,12,11,18.5,yolov8n,bytetrack,
163,8.810,49.9,0.9,0.0,51.6,12,11,18.5,yolov8n,bytetrack,
164,8.865,53.0,0.9,0.0,54.7,10,10,18.5,yolov8n,bytetrack,
165,8.918,51.3,0.9,0.0,52.8,10,10,18.5,yolov8n,bytetrack,
166,8.970,49.8,0.9,0.0,51.5,11,10,18.5,yolov8n,bytetrack,
167,9.022,48.9,1.0,0.0,51.6,12,10,18.5,yolov8n,bytetrack,
168,9.075,50.5,0.9,0.0,52.2,11,10,18.5,yolov8n,bytetrack,
169,9.124,47.5,0.9,0.0,49.3,12,10,18.5,yolov8n,bytetrack,
170,9.178,51.8,1.0,0.0,53.5,10,9,18.5,yolov8n,bytetrack,
171,9.230,50.2,0.9,0.0,51.7,10,9,18.5,yolov8n,bytetrack,
172,9.282,50.5,0.9,0.0,52.2,10,9,18.5,yolov8n,bytetrack,
173,9.334,49.8,0.9,0.0,51.6,11,9,18.5,yolov8n,bytetrack,1 notifications
174,9.387,50.8,0.8,0.0,52.4,10,9,18.5,yolov8n,bytetrack,
175,9.439,50.6,0.9,0.0,52.2,11,9,18.5,yolov8n,bytetrack,
176,9.490,49.4,0.9,0.0,51.0,12,10,18.5,yolov8n,bytetrack,
177,9.541,48.9,0.9,0.0,50.4,11,9,18.6,yolov8n,bytetrack,
178,9.594,51.2,0.9,0.0,53.0,11,11,18.6,yolov8n,bytetrack,1 notifications
179,9.647,50.6,0.9,0.0,52.4,13,11,18.6,yolov8n,bytetrack,
180,9.698,49.4,1.0,0.0,51.2,12,12,18.6,yolov8n,bytetrack,
181,9.751,50.0,1.0,0.0,51.8,13,12,18.6,yolov8n,bytetrack,
182,9.804,50.9,1.0,0.0,52.7,13,12,18.6,yolov8n,bytetrack,
183,9.855,49.7,1.0,0.0,51.5,14,12,18.6,yolov8n,bytetrack,
184,9.908,50.2,1.0,0.0,52.1,14,12,18.6,yolov8n,bytetrack,
