# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,deepsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
52,15.225,95.5,164.5,260.0,1,1,3.4,29.3,65.0,0.7,No,yolo11n-pose,deepsort,
53,15.441,47.7,142.4,190.1,1,1,3.4,1.3,45.6,0.3,No,yolo11n-pose,deepsort,
54,15.734,51.0,215.9,266.9,1,1,3.4,1.2,48.7,0.3,No,yolo11n-pose,deepsort,
55,15.966,51.3,153.5,204.8,1,1,3.4,3.0,47.5,0.4,No,yolo11n-pose,deepsort,
56,16.202,54.4,156.8,211.2,1,1,3.5,1.3,52.0,0.4,No,yolo11n-pose,deepsort,
57,16.431,54.6,148.4,203.0,1,1,3.5,1.2,52.2,0.7,No,yolo11n-pose,deepsort,
58,16.785,51.5,276.7,328.2,1,1,3.5,1.4,49.1,0.4,No,yolo11n-pose,deepsort,
59,17.144,135.8,196.7,332.5,1,1,3.4,77.6,57.4,0.3,No,yolo11n-pose,deepsort,
60,17.490,137.7,182.9,320.6,1,1,3.4,31.1,105.4,0.5,No,yolo11n-pose,deepsort,
61,17.876,161.9,196.4,358.3,1,1,3.4,22.9,138.0,0.3,No,yolo11n-pose,deepsort,
62,18.225,151.0,171.9,322.9,1,1,3.4,23.2,127.1,0.3,No,yolo11n-pose,deepsort,
63,18.449,51.9,144.6,196.5,1,1,3.4,1.3,49.7,0.3,No,yolo11n-pose,deepsort,
64,18.667,49.6,141.9,191.5,1,1,3.4,1.2,47.4,0.4,No,yolo11n-pose,deepsort,
65,18.947,49.8,204.1,254.0,1,1,3.4,1.3,47.5,0.4,No,yolo11n-pose,deepsort,
66,19.189,54.2,158.9,213.1,1,1,3.4,1.4,51.8,0.4,No,yolo11n-pose,deepsort,
67,19.439,58.7,162.6,221.2,1,1,3.4,1.7,56.1,0.3,No,yolo11n-pose,deepsort,
68,19.824,180.7,174.2,354.9,1,1,3.4,1.3,178.2,0.4,No,yolo11n-pose,deepsort,
69,20.173,102.1,219.2,321.3,1,1,3.4,35.8,65.3,0.4,No,yolo11n-pose,deepsort,
70,20.471,123.6,148.3,271.9,1,1,3.4,42.1,80.8,0.3,No,yolo11n-pose,deepsort,
71,20.812,73.3,239.5,312.7,1,1,3.4,1.3,70.9,0.3,No,yolo11n-pose,deepsort,
72,21.138,91.1,208.2,299.3,1,1,3.4,16.3,73.8,0.4,No,yolo11n-pose,deepsort,
73,21.458,136.2,154.9,291.1,1,1,3.4,16.1,119.4,0.4,No,yolo11n-pose,deepsort,
74,21.808,141.6,182.3,323.9,1,1,3.4,1.2,139.7,0.4,No,yolo11n-pose,deepsort,
75,22.092,102.7,155.8,258.5,1,1,3.4,23.1,78.8,0.3,No,yolo11n-pose,deepsort,
76,22.425,52.7,252.3,305.0,1,1,3.4,1.2,50.6,0.3,No,yolo11n-pose,deepsort,
77,22.731,106.2,173.9,280.1,1,1,3.4,18.5,86.5,0.3,No,yolo11n-pose,deepsort,
78,23.099,63.0,279.8,342.8,1,1,3.4,1.2,60.9,0.3,No,yolo11n-pose,deepsort,
79,23.372,96.7,144.7,241.4,1,1,3.4,12.7,83.1,0.4,No,yolo11n-pose,deepsort,
80,23.776,159.6,218.6,378.1,1,1,3.4,23.6,134.9,0.3,No,yolo11n-pose,deepsort,
81,24.113,130.3,180.2,310.6,1,1,3.4,9.8,119.7,0.4,No,yolo11n-pose,deepsort,
82,24.506,61.7,303.9,365.6,1,1,3.3,1.3,59.6,0.4,No,yolo11n-pose,deepsort,
83,24.855,145.6,176.8,322.4,1,1,3.3,18.9,125.8,0.4,No,yolo11n-pose,deepsort,
84,25.113,70.0,161.8,231.8,1,1,3.3,14.0,55.0,0.3,No,yolo11n-pose,deepsort,
85,25.341,52.9,147.3,200.2,1,1,3.4,1.1,51.0,0.3,No,yolo11n-pose,deepsort,
86,25.649,53.2,224.6,277.8,1,1,3.4,1.5,50.6,0.3,No,yolo11n-pose,deepsort,
87,25.989,134.1,180.4,314.6,1,1,3.3,17.6,115.5,0.4,No,yolo11n-pose,deepsort,
88,26.216,53.8,146.6,200.5,1,1,3.4,5.0,47.8,0.3,No,yolo11n-pose,deepsort,
89,26.450,52.5,156.9,209.4,1,1,3.4,1.1,50.4,0.3,No,yolo11n-pose,deepsort,
90,26.771,54.5,241.2,295.7,1,1,3.4,1.7,51.7,0.6,No,yolo11n-pose,deepsort,
91,27.102,134.3,169.2,303.5,1,1,3.4,13.7,119.6,0.4,No,yolo11n-pose,deepsort,
92,27.326,49.1,149.2,198.3,1,1,3.4,1.2,47.0,0.3,No,yolo11n-pose,deepsort,
93,27.572,57.7,163.7,221.4,1,1,3.4,1.3,55.0,0.4,No,yolo11n-pose,deepsort,
94,27.834,70.6,164.0,234.6,1,1,3.4,1.4,67.7,0.8,No,yolo11n-pose,deepsort,
95,28.061,51.6,150.8,202.4,1,1,3.4,1.3,49.5,0.3,No,yolo11n-pose,deepsort,
96,28.283,48.1,147.6,195.7,1,1,3.4,1.3,46.0,0.4,No,yolo11n-pose,deepsort,
97,28.502,48.1,145.9,194.0,1,1,3.4,1.3,46.0,0.3,No,yolo11n-pose,deepsort,
98,28.856,169.6,158.4,328.0,1,1,3.4,20.9,147.9,0.3,No,yolo11n-pose,deepsort,
99,29.108,63.4,163.9,227.3,1,1,3.4,16.0,46.4,0.3,No,yolo11n-pose,deepsort,
100,29.340,52.0,153.3,205.3,1,1,3.4,1.2,50.0,0.3,No,yolo11n-pose,deepsort,
101,29.576,53.3,152.6,205.9,1,1,3.4,2.3,50.3,0.3,No,yolo11n-pose,deepsort,
102,29.792,50.1,140.9,191.0,1,1,3.4,1.3,47.4,0.4,No,yolo11n-pose,deepsort,
103,30.017,54.1,145.1,199.3,1,1,3.4,1.2,51.8,0.3,No,yolo11n-pose,deepsort,
104,30.412,148.3,221.0,369.2,1,1,3.4,23.2,121.1,0.4,No,yolo11n-pose,deepsort,
105,30.709,126.7,145.3,272.0,1,1,3.4,22.5,103.5,0.3,No,yolo11n-pose,deepsort,
106,31.016,45.9,236.1,282.0,1,1,3.4,1.4,43.8,0.3,No,yolo11n-pose,deepsort,
107,31.337,147.4,149.5,297.0,1,1,3.4,19.3,127.2,0.4,No,yolo11n-pose,deepsort,
108,31.565,48.5,146.7,195.2,1,1,3.4,1.2,46.3,0.3,No,yolo11n-pose,deepsort,
109,31.789,51.7,147.6,199.2,1,1,3.4,1.4,49.4,0.3,No,yolo11n-pose,deepsort,
110,32.022,56.6,149.8,206.4,1,1,3.4,1.4,54.2,0.3,No,yolo11n-pose,deepsort,
111,32.244,53.5,142.9,196.4,1,1,3.4,1.4,51.3,0.3,No,yolo11n-pose,deepsort,
112,32.479,54.1,154.4,208.5,1,1,3.4,1.2,52.1,0.4,No,yolo11n-pose,deepsort,
113,32.843,171.6,167.1,338.7,1,1,3.4,1.4,169.4,0.3,No,yolo11n-pose,deepsort,
114,33.101,83.9,149.1,233.0,1,1,3.4,32.9,50.3,0.3,No,yolo11n-pose,deepsort,
115,33.320,49.2,145.2,194.4,1,1,3.5,1.2,46.7,0.6,No,yolo11n-pose,deepsort,
116,33.828,55.7,426.8,482.4,2,1,3.4,1.4,52.9,0.6,No,yolo11n-pose,deepsort,
117,34.142,90.7,198.1,288.8,1,1,3.4,20.9,68.7,0.4,No,yolo11n-pose,deepsort,
118,34.490,147.4,175.3,322.7,1,1,3.4,20.7,125.9,0.3,No,yolo11n-pose,deepsort,
119,34.820,53.3,251.7,305.0,1,1,3.4,1.2,51.2,0.3,No,yolo11n-pose,deepsort,
120,35.124,97.5,181.2,278.8,1,1,3.4,18.6,77.8,0.3,No,yolo11n-pose,deepsort,
121,35.340,54.1,137.4,191.5,1,1,3.4,1.4,51.7,0.3,No,yolo11n-pose,deepsort,
122,35.566,49.9,148.6,198.6,1,1,3.4,1.3,47.9,0.3,No,yolo11n-pose,deepsort,
123,35.786,51.6,143.2,194.8,1,1,3.4,2.2,48.5,0.4,No,yolo11n-pose,deepsort,
124,36.072,115.0,146.3,261.3,1,1,3.4,9.3,104.6,0.6,No,yolo11n-pose,deepsort,
125,36.297,50.8,149.9,200.7,1,1,3.4,1.3,48.6,0.3,No,yolo11n-pose,deepsort,
