# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Memory_MB,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

62,3.413,50.6,0.9,0.0,52.4,11,8,18.2,702.2,yolov8n,bytetrack,
63,3.464,49.3,1.0,0.0,51.1,12,9,18.2,702.3,yolov8n,bytetrack,
64,3.519,51.1,1.4,0.0,54.1,11,9,18.2,702.3,yolov8n,bytetrack,
65,3.577,55.9,1.0,0.0,57.8,11,10,18.2,709.7,yolov8n,bytetrack,
66,3.629,50.1,1.0,0.0,52.1,11,10,18.2,709.7,yolov8n,bytetrack,
67,3.684,52.3,0.9,0.0,54.3,9,9,18.2,714.4,yolov8n,bytetrack,
68,3.738,51.2,1.0,0.0,53.3,10,9,18.2,714.4,yolov8n,bytetrack,
69,3.790,50.0,0.9,0.0,51.8,11,9,18.2,714.4,yolov8n,bytetrack,
70,3.842,50.3,0.9,0.0,52.2,11,9,18.2,716.8,yolov8n,bytetrack,
71,3.895,50.4,1.0,0.0,52.3,14,10,18.2,716.8,yolov8n,bytetrack,
72,3.946,49.0,1.0,0.0,51.1,13,9,18.2,716.8,yolov8n,bytetrack,
73,4.001,52.4,0.9,0.0,54.3,12,9,18.2,716.8,yolov8n,bytetrack,
74,4.054,50.8,0.9,0.0,52.7,12,9,18.3,722.1,yolov8n,bytetrack,
75,4.106,50.0,1.0,0.0,52.0,13,11,18.3,724.7,yolov8n,bytetrack,
76,4.160,51.9,1.0,0.0,53.8,13,9,18.3,724.7,yolov8n,bytetrack,
77,4.213,50.8,1.0,0.0,52.8,14,11,18.3,724.7,yolov8n,bytetrack,
78,4.266,51.1,1.0,0.0,53.2,12,11,18.3,724.7,yolov8n,bytetrack,
79,4.317,48.3,1.0,0.0,50.4,13,10,18.3,724.8,yolov8n,bytetrack,
80,4.370,50.7,1.0,0.0,52.7,13,10,18.3,724.8,yolov8n,bytetrack,
81,4.424,51.2,1.0,0.0,53.5,12,10,18.3,724.8,yolov8n,bytetrack,
82,4.476,49.3,1.1,0.0,51.4,12,12,18.3,724.8,yolov8n,bytetrack,
