# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,strongsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
1,0.129,98.6,14.1,112.6,1,0,7.8,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
2,0.325,40.5,14.8,55.3,1,0,6.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
3,0.645,50.6,216.2,266.8,1,1,4.6,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
4,0.751,58.9,16.8,75.7,1,1,5.3,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
5,0.849,39.0,16.5,55.6,1,1,5.9,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
6,0.940,42.9,11.5,54.4,1,1,6.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
7,1.014,36.5,11.4,47.9,1,1,6.9,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
8,1.088,35.0,13.3,48.2,1,1,7.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
9,1.159,35.1,12.5,47.5,1,1,7.8,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
10,1.230,35.3,11.2,46.5,1,1,8.1,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
11,1.302,36.1,11.5,47.6,1,1,8.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
12,1.374,35.4,11.8,47.2,1,1,8.7,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
13,1.449,38.6,12.5,51.2,1,1,9.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
14,1.525,38.7,12.1,50.7,1,1,9.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
15,1.596,35.5,10.5,46.0,1,1,9.4,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
16,1.667,35.3,11.2,46.6,1,1,9.6,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
17,1.739,35.6,11.7,47.4,1,1,9.8,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
18,1.811,35.6,12.0,47.6,1,1,9.9,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
19,1.891,35.4,20.2,55.6,1,1,10.0,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
20,1.966,37.3,13.3,50.6,1,1,10.2,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
21,2.043,36.0,17.3,53.3,1,1,10.3,0.0,0.0,0.0,Yes,yolo11n-pose,strongsort,
