frame_idx,timestamp,track_id,detection_idx,kpt_0_x,kpt_0_y,kpt_0_conf,kpt_1_x,kpt_1_y,kpt_1_conf,kpt_2_x,kpt_2_y,kpt_2_conf,kpt_3_x,kpt_3_y,kpt_3_conf,kpt_4_x,kpt_4_y,kpt_4_conf,kpt_5_x,kpt_5_y,kpt_5_conf,kpt_6_x,kpt_6_y,kpt_6_conf,kpt_7_x,kpt_7_y,kpt_7_conf,kpt_8_x,kpt_8_y,kpt_8_conf,kpt_9_x,kpt_9_y,kpt_9_conf,kpt_10_x,kpt_10_y,kpt_10_conf,kpt_11_x,kpt_11_y,kpt_11_conf,kpt_12_x,kpt_12_y,kpt_12_conf,kpt_13_x,kpt_13_y,kpt_13_conf,kpt_14_x,kpt_14_y,kpt_14_conf,kpt_15_x,kpt_15_y,kpt_15_conf,kpt_16_x,kpt_16_y,kpt_16_conf
3,1742890702.306457,1,0,0.0,0.0,0.014535906724631786,0.0,0.0,0.005316533148288727,0.0,0.0,0.013089577667415142,0.0,0.0,0.07798296958208084,0.0,0.0,0.29361531138420105,0.0,0.0,0.22192423045635223,1561.0078125,431.1333923339844,0.5940518975257874,0.0,0.0,0.027471359819173813,0.0,0.0,0.11848964542150497,0.0,0.0,0.019348595291376114,0.0,0.0,0.07180378586053848,0.0,0.0,0.03233429044485092,0.0,0.0,0.05406806990504265,0.0,0.0,0.12589320540428162,0.0,0.0,0.1651519238948822,0.0,0.0,0.3332453668117523,0.0,0.0,0.35863515734672546
4,1742890702.522729,1,0,0.0,0.0,0.009223408065736294,0.0,0.0,0.003705147188156843,0.0,0.0,0.006743437144905329,0.0,0.0,0.08245423436164856,0.0,0.0,0.19000795483589172,0.0,0.0,0.19574972987174988,1563.3475341796875,430.5611877441406,0.5397049188613892,0.0,0.0,0.03128169849514961,0.0,0.0,0.10620791465044022,0.0,0.0,0.027706997469067574,0.0,0.0,0.08226262032985687,0.0,0.0,0.025426795706152916,0.0,0.0,0.03959012031555176,0.0,0.0,0.08712223172187805,0.0,0.0,0.10766762495040894,0.0,0.0,0.21946559846401215,0.0,0.0,0.23255912959575653
5,1742890702.722328,1,0,0.0,0.0,0.0063355048187077045,0.0,0.0,0.002512908075004816,0.0,0.0,0.004256419837474823,0.0,0.0,0.07649125903844833,0.0,0.0,0.16853179037570953,0.0,0.0,0.1671781986951828,0.0,0.0,0.4781320095062256,0.0,0.0,0.018880022689700127,0.0,0.0,0.06483958661556244,0.0,0.0,0.014952878467738628,0.0,0.0,0.04371089115738869,0.0,0.0,0.006993201095610857,0.0,0.0,0.01118605025112629,0.0,0.0,0.019078057259321213,0.0,0.0,0.024554014205932617,0.0,0.0,0.04606213793158531,0.0,0.0,0.05004509165883064
6,1742890702.927577,1,0,0.0,0.0,0.010793667286634445,0.0,0.0,0.0038297029677778482,0.0,0.0,0.007460777647793293,0.0,0.0,0.08495990931987762,0.0,0.0,0.21072745323181152,0.0,0.0,0.21233095228672028,1571.8499755859375,406.1434020996094,0.6070441007614136,0.0,0.0,0.030755966901779175,0.0,0.0,0.13215729594230652,0.0,0.0,0.02446267008781433,0.0,0.0,0.08529864996671677,0.0,0.0,0.013547178357839584,0.0,0.0,0.02401820570230484,0.0,0.0,0.023247580975294113,0.0,0.0,0.031833332031965256,0.0,0.0,0.049272872507572174,0.0,0.0,0.05500338226556778
7,1742890703.124845,1,0,0.0,0.0,0.0064611295238137245,0.0,0.0,0.0031017810106277466,0.0,0.0,0.0029222031589597464,0.0,0.0,0.10605913400650024,0.0,0.0,0.10585872828960419,0.0,0.0,0.2866617739200592,0.0,0.0,0.4082288444042206,0.0,0.0,0.04947558790445328,0.0,0.0,0.05203213170170784,0.0,0.0,0.03246855363249779,0.0,0.0,0.04173285514116287,0.0,0.0,0.010839324444532394,0.0,0.0,0.010825471952557564,0.0,0.0,0.023374302312731743,0.0,0.0,0.01945456862449646,0.0,0.0,0.04563843831419945,0.0,0.0,0.0370582714676857
8,1742890703.3213131,1,0,0.0,0.0,0.005741605535149574,0.0,0.0,0.0028949894476681948,0.0,0.0,0.002381610684096813,0.0,0.0,0.09972567856311798,0.0,0.0,0.10273005068302155,0.0,0.0,0.35051634907722473,0.0,0.0,0.4288356602191925,0.0,0.0,0.09340177476406097,0.0,0.0,0.08273643255233765,0.0,0.0,0.05674555525183678,0.0,0.0,0.06867489963769913,0.0,0.0,0.038838453590869904,0.0,0.0,0.03537936508655548,0.0,0.0,0.13071560859680176,0.0,0.0,0.10669074952602386,0.0,0.0,0.30252718925476074,0.0,0.0,0.25321096181869507
9,1742890703.654628,1,0,0.0,0.0,0.0033821079414337873,0.0,0.0,0.0017679695738479495,0.0,0.0,0.0011313041904941201,0.0,0.0,0.09156661480665207,0.0,0.0,0.06050490960478783,0.0,0.0,0.29585474729537964,0.0,0.0,0.3794303834438324,0.0,0.0,0.09398386627435684,0.0,0.0,0.08605670183897018,0.0,0.0,0.052734702825546265,0.0,0.0,0.06291698664426804,0.0,0.0,0.02318279631435871,0.0,0.0,0.021897101774811745,0.0,0.0,0.05121665075421333,0.0,0.0,0.042071714997291565,0.0,0.0,0.10898536443710327,0.0,0.0,0.08848182111978531
10,1742890703.9491389,1,0,0.0,0.0,0.003588023828342557,0.0,0.0,0.0015845040325075388,0.0,0.0,0.0013546706177294254,0.0,0.0,0.05824793875217438,0.0,0.0,0.06140598654747009,0.0,0.0,0.2655344009399414,0.0,0.0,0.364934504032135,0.0,0.0,0.08561532944440842,0.0,0.0,0.09060439467430115,0.0,0.0,0.04475606605410576,0.0,0.0,0.058788638561964035,0.0,0.0,0.019898802042007446,0.0,0.0,0.020011374726891518,0.0,0.0,0.03234463185071945,0.0,0.0,0.027330735698342323,0.0,0.0,0.06577520817518234,0.0,0.0,0.05326377972960472
11,1742890704.269152,1,0,0.0,0.0,0.0069893780164420605,0.0,0.0,0.0025929308030754328,0.0,0.0,0.0025463062338531017,0.0,0.0,0.049254585057497025,0.0,0.0,0.07850910723209381,0.0,0.0,0.34912657737731934,0.0,0.0,0.400230348110199,0.0,0.0,0.12363218516111374,0.0,0.0,0.10702478885650635,0.0,0.0,0.058069489896297455,0.0,0.0,0.06519028544425964,0.0,0.0,0.021444113925099373,0.0,0.0,0.020204391330480576,0.0,0.0,0.025576423853635788,0.0,0.0,0.019553223624825478,0.0,0.0,0.04131387546658516,0.0,0.0,0.03078152984380722
12,1742890704.6622028,1,0,0.0,0.0,0.003999297972768545,0.0,0.0,0.0014419222716242075,0.0,0.0,0.001047534286044538,0.0,0.0,0.04200025647878647,0.0,0.0,0.03535027429461479,0.0,0.0,0.2975291907787323,0.0,0.0,0.4320005774497986,0.0,0.0,0.13940687477588654,0.0,0.0,0.16844582557678223,0.0,0.0,0.06448416411876678,0.0,0.0,0.08266940712928772,0.0,0.0,0.028159864246845245,0.0,0.0,0.031520042568445206,0.0,0.0,0.016639748588204384,0.0,0.0,0.014239469543099403,0.0,0.0,0.015844134613871574,0.0,0.0,0.012877070344984531
13,1742890705.0052722,1,0,0.0,0.0,0.0037963921204209328,0.0,0.0,0.0011153320083394647,0.0,0.0,0.0009762168629094958,0.0,0.0,0.02846517600119114,0.0,0.0,0.03357711434364319,0.0,0.0,0.27756214141845703,0.0,0.0,0.47320616245269775,0.0,0.0,0.13865891098976135,0.0,0.0,0.22896131873130798,0.0,0.0,0.06477764993906021,0.0,0.0,0.10758407413959503,0.0,0.0,0.03226710110902786,0.0,0.0,0.042345497757196426,0.0,0.0,0.015643414109945297,0.0,0.0,0.015143679454922676,0.0,0.0,0.011936351656913757,0.0,0.0,0.010504499077796936
14,1742890705.378957,1,0,0.0,0.0,0.0031444572377949953,0.0,0.0,0.0008685592911206186,0.0,0.0,0.0007371000829152763,0.0,0.0,0.022854944691061974,0.0,0.0,0.02290397696197033,0.0,0.0,0.23130998015403748,0.0,0.0,0.4568864107131958,0.0,0.0,0.13694657385349274,0.0,0.0,0.26505184173583984,0.0,0.0,0.06767977029085159,0.0,0.0,0.12200775742530823,0.0,0.0,0.035341646522283554,0.0,0.0,0.049585260450839996,0.0,0.0,0.015398814342916012,0.0,0.0,0.015781324356794357,0.0,0.0,0.010454138740897179,0.0,0.0,0.00956672988831997
15,1742890705.739865,1,0,0.0,0.0,0.0035942771937698126,0.0,0.0,0.0010017233435064554,0.0,0.0,0.000757759262342006,0.0,0.0,0.022369161248207092,0.0,0.0,0.019016843289136887,0.0,0.0,0.21719571948051453,0.0,0.0,0.4623664319515228,0.0,0.0,0.13827550411224365,0.0,0.0,0.29630082845687866,0.0,0.0,0.06946668028831482,0.0,0.0,0.1356653869152069,0.0,0.0,0.03876926004886627,0.0,0.0,0.058248914778232574,0.0,0.0,0.014514394104480743,0.0,0.0,0.015701165422797203,0.0,0.0,0.008251610212028027,0.0,0.0,0.007899021729826927
16,1742890706.0891972,1,0,0.0,0.0,0.004192529711872339,0.0,0.0,0.0010533711174502969,0.0,0.0,0.0009017233969643712,0.0,0.0,0.020044958218932152,0.0,0.0,0.020594215020537376,0.0,0.0,0.21244461834430695,1592.0010986328125,129.27484130859375,0.5124979019165039,0.0,0.0,0.128853902220726,0.0,0.0,0.35493436455726624,0.0,0.0,0.06610102206468582,0.0,0.0,0.15955771505832672,0.0,0.0,0.04361255094408989,0.0,0.0,0.07449841499328613,0.0,0.0,0.015099260956048965,0.0,0.0,0.018099725246429443,0.0,0.0,0.007567168679088354,0.0,0.0,0.007784093264490366
17,1742890706.4456792,1,0,0.0,0.0,0.003922756295651197,0.0,0.0,0.001051827217452228,0.0,0.0,0.0006914008408784866,0.0,0.0,0.022299276664853096,0.0,0.0,0.01695440709590912,0.0,0.0,0.24162551760673523,1576.4981689453125,110.19117736816406,0.5183466672897339,0.0,0.0,0.1463824361562729,0.0,0.0,0.36475032567977905,0.0,0.0,0.06825435161590576,0.0,0.0,0.16021403670310974,0.0,0.0,0.05819149315357208,0.0,0.0,0.09742825478315353,0.0,0.0,0.018584027886390686,0.0,0.0,0.022093433886766434,0.0,0.0,0.007883267477154732,0.0,0.0,0.008151470683515072
18,1742890706.884404,1,0,0.0,0.0,0.00337302777916193,0.0,0.0,0.0008753667934797704,0.0,0.0,0.0006183759542182088,0.0,0.0,0.0213882178068161,0.0,0.0,0.018173297867178917,0.0,0.0,0.24576908349990845,1569.5677490234375,96.74057006835938,0.5078664422035217,0.0,0.0,0.14308960735797882,0.0,0.0,0.35177692770957947,0.0,0.0,0.06144644692540169,0.0,0.0,0.14810854196548462,0.0,0.0,0.06599025428295135,0.0,0.0,0.10787622630596161,0.0,0.0,0.021160658448934555,0.0,0.0,0.025317123159766197,0.0,0.0,0.00909630861133337,0.0,0.0,0.009381075389683247
19,1742890707.262825,1,0,0.0,0.0,0.003684291150420904,0.0,0.0,0.0010102998930960894,0.0,0.0,0.0006925172638148069,0.0,0.0,0.023672327399253845,0.0,0.0,0.01879045180976391,0.0,0.0,0.23235094547271729,1540.3466796875,95.06968688964844,0.5074937343597412,0.0,0.0,0.1304730623960495,0.0,0.0,0.3498925566673279,0.0,0.0,0.05894338712096214,0.0,0.0,0.1543448120355606,0.0,0.0,0.06290023773908615,0.0,0.0,0.10714873671531677,0.0,0.0,0.021309228613972664,0.0,0.0,0.02627609856426716,0.0,0.0,0.009570068679749966,0.0,0.0,0.010152253322303295
20,1742890707.644939,1,0,0.0,0.0,0.0036627305671572685,0.0,0.0,0.0009593436843715608,0.0,0.0,0.0007036400493234396,0.0,0.0,0.021363578736782074,0.0,0.0,0.02032647095620632,0.0,0.0,0.2349630892276764,0.0,0.0,0.4818383455276489,0.0,0.0,0.13834555447101593,0.0,0.0,0.3310776948928833,0.0,0.0,0.06208569556474686,0.0,0.0,0.15172052383422852,0.0,0.0,0.06510420888662338,0.0,0.0,0.1050993949174881,0.0,0.0,0.02259748801589012,0.0,0.0,0.026510249823331833,0.0,0.0,0.009843064472079277,0.0,0.0,0.010029006749391556
21,1742890708.034644,1,0,0.0,0.0,0.0034888125956058502,0.0,0.0,0.0010350148659199476,0.0,0.0,0.0006382761639542878,0.0,0.0,0.02500070631504059,0.0,0.0,0.01677827537059784,0.0,0.0,0.20828558504581451,0.0,0.0,0.45657289028167725,0.0,0.0,0.13007038831710815,0.0,0.0,0.3211909532546997,0.0,0.0,0.062135692685842514,0.0,0.0,0.15364548563957214,0.0,0.0,0.06386573612689972,0.0,0.0,0.10545533150434494,0.0,0.0,0.02274729125201702,0.0,0.0,0.026956073939800262,0.0,0.0,0.010043821297585964,0.0,0.0,0.010475712828338146
22,1742890708.484116,1,0,0.0,0.0,0.002708587795495987,0.0,0.0,0.000711550354026258,0.0,0.0,0.0005233679548837245,0.0,0.0,0.011527307331562042,0.0,0.0,0.01043903548270464,0.0,0.0,0.1359378546476364,0.0,0.0,0.38700249791145325,0.0,0.0,0.10822620242834091,0.0,0.0,0.350493460893631,0.0,0.0,0.057859938591718674,0.0,0.0,0.1680792272090912,0.0,0.0,0.05309297889471054,0.0,0.0,0.09894052892923355,0.0,0.0,0.020010095089673996,0.0,0.0,0.027234503999352455,0.0,0.0,0.009918627329170704,0.0,0.0,0.011287073604762554
