# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,deepsort

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,1920x1080,FPS,28.09
# Stay Threshold (s),8.0
# Move Threshold (px),20.0

1,0.135,79.6,37.5,0.0,134.9,1,0,7.4,yolov8n,deepsort,
2,0.218,41.5,36.2,0.0,81.1,1,0,9.2,yolov8n,deepsort,
3,0.294,36.8,34.6,0.0,74.6,1,1,10.2,yolov8n,deepsort,
4,0.369,38.0,34.5,0.0,74.7,1,1,10.8,yolov8n,deepsort,
5,0.442,36.2,33.3,0.0,71.5,1,1,11.3,yolov8n,deepsort,
6,0.512,36.7,31.3,0.0,70.0,1,1,11.7,yolov8n,deepsort,
7,0.585,38.8,31.3,0.0,72.1,1,1,12.0,yolov8n,deepsort,
8,0.745,106.1,50.7,0.0,158.9,1,1,10.7,yolov8n,deepsort,
9,0.872,67.7,56.8,0.0,126.6,1,1,10.3,yolov8n,deepsort,
10,0.953,41.5,35.5,0.0,79.4,1,1,10.5,yolov8n,deepsort,
11,1.036,42.6,36.9,0.0,82.0,1,1,10.6,yolov8n,deepsort,
12,1.143,43.7,59.0,0.0,105.3,1,1,10.5,yolov8n,deepsort,
13,1.246,51.0,44.9,0.0,101.9,1,1,10.4,yolov8n,deepsort,
14,1.356,44.8,62.9,0.0,110.1,1,1,10.3,yolov8n,deepsort,
15,1.480,60.5,55.7,0.0,120.9,1,1,10.1,yolov8n,deepsort,
16,1.594,72.0,38.1,0.0,112.8,1,1,10.0,yolov8n,deepsort,
17,1.704,60.9,43.8,0.0,108.7,1,1,10.0,yolov8n,deepsort,
18,1.823,67.4,47.8,0.0,117.9,1,1,9.9,yolov8n,deepsort,
19,1.950,71.6,48.5,0.0,124.7,1,1,9.7,yolov8n,deepsort,
