# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,deepsort

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,1920x1080,FPS,28.09
# Stay Threshold (s),4.0
# Move Threshold (px),20.0

1,0.140,84.8,36.4,0.0,139.8,1,0,7.2,yolov8n,deepsort,
2,0.228,44.7,38.8,0.0,86.7,1,0,8.8,yolov8n,deepsort,
3,0.313,42.3,36.0,0.0,83.0,1,1,9.6,yolov8n,deepsort,
4,0.394,41.2,35.3,0.0,79.5,1,1,10.2,yolov8n,deepsort,
5,0.470,38.0,35.0,0.0,75.0,1,1,10.6,yolov8n,deepsort,
6,0.553,42.5,36.8,0.0,81.9,1,1,10.9,yolov8n,deepsort,
7,0.640,48.7,35.5,0.0,86.6,1,1,10.9,yolov8n,deepsort,
8,0.797,85.9,59.8,0.0,153.6,1,1,10.0,yolov8n,deepsort,
9,0.925,70.6,49.8,0.0,124.2,1,1,9.7,yolov8n,deepsort,
10,1.016,46.7,41.4,0.0,90.2,1,1,9.8,yolov8n,deepsort,
11,1.096,39.6,37.1,0.0,78.9,1,1,10.0,yolov8n,deepsort,
12,1.222,73.3,48.1,0.0,123.7,1,1,9.8,yolov8n,deepsort,
13,1.331,61.2,45.4,0.0,108.8,1,1,9.8,yolov8n,deepsort,
14,1.440,55.3,46.7,0.0,105.4,1,1,9.7,yolov8n,deepsort,
15,1.554,48.8,59.5,0.0,112.6,1,1,9.7,yolov8n,deepsort,
16,1.706,89.2,56.5,0.0,149.7,1,1,9.4,yolov8n,deepsort,
17,1.822,54.8,56.9,0.0,114.1,1,1,9.3,yolov8n,deepsort,
18,1.954,72.9,54.2,0.0,130.5,1,1,9.2,yolov8n,deepsort,
19,2.082,78.0,46.3,0.0,126.9,1,1,9.1,yolov8n,deepsort,
20,2.192,61.9,45.8,0.0,109.9,1,1,9.1,yolov8n,deepsort,
21,2.324,71.2,50.9,0.0,128.2,1,1,9.0,yolov8n,deepsort,
22,2.430,56.4,47.0,0.0,105.5,1,1,9.1,yolov8n,deepsort,
23,2.533,48.3,50.4,0.0,101.3,1,1,9.1,yolov8n,deepsort,
24,2.664,65.9,62.5,0.0,130.7,1,1,9.0,yolov8n,deepsort,
25,2.772,57.3,44.3,0.0,106.7,1,1,9.0,yolov8n,deepsort,
26,2.895,68.2,50.7,0.0,121.5,1,1,9.0,yolov8n,deepsort,
