start_frame,start_time,end_frame,end_time,duration
62,1744528566.836709,66,1744528567.038452,0.20174288749694824
115,1744528568.895531,120,1744528569.121141,0.22561001777648926
261,1744528574.404526,266,1744528574.6342452,0.2297191619873047
315,1744528576.458176,320,1744528576.681518,0.2233421802520752
373,1744528578.629801,378,1744528578.865864,0.23606300354003906
426,1744528580.6850328,428,1744528580.796916,0.11188316345214844
430,1744528580.8429189,431,1744528580.919945,0.0770261287689209
600,1744528586.6374972,600,1744528586.675798,0.03830075263977051
602,1744528586.7226298,604,1744528586.8389828,0.11635303497314453
653,1744528588.704103,658,1744528588.9423192,0.23821616172790527
748,1744528592.3674471,753,1744528592.597932,0.2304849624633789
881,1744528597.475105,886,1744528597.7060559,0.23095083236694336
934,1744528599.5299041,939,1744528599.764243,0.23433876037597656
987,1744528601.582918,992,1744528601.81442,0.23150205612182617
1044,1744528603.762377,1049,1744528603.9944682,0.23209118843078613
1150,1744528607.7527082,1155,1744528607.983191,0.230482816696167
1203,1744528609.8102431,1206,1744528609.962829,0.1525859832763672
1208,1744528610.0092852,1208,1744528610.046793,0.03750777244567871
1312,1744528613.6046069,1313,1744528613.681225,0.07661819458007812
1316,1744528613.759875,1317,1744528613.8358421,0.07596707344055176
