start_frame,start_time,end_frame,end_time,duration
57,1742888152.5932748,57,1742888152.64994,0.05666518211364746
614,1742888184.105502,614,1742888184.165547,0.06004500389099121
877,1742888198.827253,877,1742888198.903681,0.07642793655395508
936,1742888201.9101682,936,1742888201.962498,0.05232977867126465
1046,1742888207.634578,1046,1742888207.686504,0.0519258975982666
1160,1742888213.587722,1160,1742888213.639266,0.0515439510345459
1199,1742888215.612951,1199,1742888215.664872,0.05192089080810547
1317,1742888221.932984,1317,1742888221.985802,0.05281782150268555
