start_frame,start_time,end_frame,end_time,duration
62,1744553442.514706,66,1744553442.7161028,0.20139694213867188
115,1744553444.5725598,120,1744553444.800066,0.22750616073608398
261,1744553450.085584,266,1744553450.3138099,0.2282259464263916
315,1744553452.130048,320,1744553452.354534,0.2244858741760254
373,1744553454.317285,378,1744553454.541582,0.22429704666137695
427,1744553456.370709,428,1744553456.445602,0.07489299774169922
430,1744553456.490365,432,1744553456.604693,0.11432790756225586
600,1744553462.182507,600,1744553462.220225,0.03771805763244629
602,1744553462.26746,605,1744553462.419159,0.15169882774353027
653,1744553464.225962,658,1744553464.45741,0.23144817352294922
748,1744553467.844361,753,1744553468.071022,0.22666096687316895
881,1744553472.897721,886,1744553473.1262069,0.2284858226776123
935,1744553474.951157,940,1744553475.182772,0.2316148281097412
988,1744553477.0080159,993,1744553477.2459142,0.2378983497619629
1044,1744553479.238983,1049,1744553479.474498,0.23551511764526367
1097,1744553481.288345,1102,1744553481.518969,0.23062396049499512
1152,1744553483.381807,1157,1744553483.614444,0.2326369285583496
1204,1744553485.428957,1206,1744553485.544086,0.11512899398803711
1208,1744553485.590233,1208,1744553485.629022,0.038788795471191406
1312,1744553489.2501929,1313,1744553489.327185,0.07699203491210938
1316,1744553489.4062982,1317,1744553489.483456,0.07715773582458496
