start_frame,start_time,end_frame,end_time,duration
62,1744528449.134791,67,1744528449.375189,0.24039816856384277
115,1744528451.179897,120,1744528451.404652,0.22475504875183105
261,1744528456.62421,266,1744528456.849642,0.2254321575164795
316,1744528458.677541,321,1744528458.898597,0.2210559844970703
372,1744528460.743722,377,1744528460.966462,0.22273993492126465
427,1744528462.799648,428,1744528462.872412,0.07276391983032227
430,1744528462.916543,432,1744528463.0285382,0.11199522018432617
600,1744528468.6459908,600,1744528468.6838531,0.037862300872802734
602,1744528468.730334,605,1744528468.8827891,0.15245509147644043
653,1744528470.7198122,658,1744528470.952053,0.23224091529846191
748,1744528474.363036,753,1744528474.599243,0.2362070083618164
881,1744528479.536195,885,1744528479.749225,0.2130298614501953
933,1744528481.57954,938,1744528481.812185,0.23264503479003906
986,1744528483.686322,991,1744528483.922737,0.23641490936279297
1044,1744528485.941277,1049,1744528486.178229,0.2369520664215088
1097,1744528487.9827561,1102,1744528488.210849,0.22809290885925293
1152,1744528490.0269608,1157,1744528490.256809,0.22984814643859863
1205,1744528492.090663,1206,1744528492.16678,0.07611703872680664
1208,1744528492.212926,1208,1744528492.250575,0.03764915466308594
1312,1744528495.780684,1313,1744528495.858453,0.07776904106140137
1316,1744528495.9371362,1317,1744528496.0142488,0.07711267471313477
