frame_number,timestamp,left_hand_raised,right_hand_raised
317,13.214,False,True
318,13.255,False,True
319,13.297,False,True
320,13.339,False,True
321,13.380,False,True
322,13.422,False,True
323,13.464,False,True
324,13.505,False,True
325,13.547,False,True
326,13.589,False,True
327,13.630,False,True
328,13.672,False,False
329,13.714,False,False
330,13.755,False,False
331,13.797,False,False
332,13.839,False,False
333,13.880,False,False
334,13.922,False,False
335,13.964,False,False
336,14.006,False,False
337,14.047,False,False
338,14.089,False,False
339,14.131,False,False
340,14.172,False,False
341,14.214,False,False
342,14.256,False,False
343,14.297,False,False
344,14.339,False,False
345,14.381,False,False
346,14.422,False,False
347,14.464,False,False
348,14.506,False,False
349,14.547,False,False
350,14.589,False,False
351,14.631,False,False
352,14.672,False,False
353,14.714,False,False
354,14.756,False,False
355,14.798,False,False
356,14.839,False,False
357,14.881,False,False
358,14.923,False,False
359,14.964,False,False
360,15.006,False,False
361,15.048,False,False
362,15.089,False,False
363,15.131,False,False
364,15.173,False,False
365,15.214,False,False
366,15.256,False,False
367,15.298,False,False
368,15.339,False,False
369,15.381,False,False
370,15.423,False,False
371,15.464,False,False
372,15.506,False,False
373,15.548,False,False
374,15.589,False,False
375,15.631,False,False
376,15.673,False,False
377,15.715,False,False
378,15.756,False,False
379,15.798,False,False
380,15.840,False,False
381,15.881,False,False
382,15.923,False,False
383,15.965,False,False
384,16.006,False,False
385,16.048,False,False
386,16.090,False,False
387,16.131,False,False
388,16.173,False,False
389,16.215,False,False
390,16.256,False,False
391,16.298,False,False
392,16.340,False,False
393,16.381,False,False
394,16.423,False,False
395,16.465,False,False
396,16.507,False,False
397,16.548,False,False
398,16.590,False,False
399,16.632,False,False
400,16.673,False,False
401,16.715,False,False
402,16.757,False,False
403,16.798,False,False
404,16.840,False,False
405,16.882,False,False
406,16.923,False,False
407,16.965,False,False
408,17.007,False,False
409,17.048,False,False
410,17.090,False,False
411,17.132,False,False
412,17.173,False,False
413,17.215,False,False
414,17.257,False,False
415,17.298,False,False
416,17.340,False,False
417,17.382,False,False
418,17.424,False,False
419,17.465,False,False
420,17.507,False,False
421,17.549,True,False
422,17.590,True,False
423,17.632,True,False
424,17.674,True,False
425,17.715,True,False
426,17.757,True,False
427,17.799,True,False
428,17.840,True,False
429,17.882,True,False
430,17.924,True,False
431,17.965,True,False
432,18.007,True,False
433,18.049,True,False
434,18.090,True,False
435,18.132,True,False
436,18.174,True,False
437,18.216,True,False
438,18.257,True,False
439,18.299,True,False
440,18.341,True,False
441,18.382,True,False
442,18.424,True,False
443,18.466,True,False
444,18.507,True,False
445,18.549,True,False
446,18.591,True,False
447,18.632,True,False
448,18.674,True,False
449,18.716,True,False
450,18.757,True,False
451,18.799,True,False
452,18.841,True,False
453,18.882,True,False
454,18.924,True,False
455,18.966,True,False
456,19.008,True,False
457,19.049,False,False
458,19.091,False,False
459,19.133,False,False
460,19.174,False,False
461,19.216,False,False
462,19.258,False,False
463,19.299,False,False
464,19.341,False,False
465,19.383,False,False
466,19.424,False,False
467,19.466,False,False
468,19.508,False,False
469,19.549,False,False
470,19.591,False,False
471,19.633,False,False
472,19.674,False,False
473,19.716,False,False
474,19.758,False,False
475,19.799,False,False
476,19.841,False,False
477,19.883,False,False
478,19.925,False,False
479,19.966,False,False
480,20.008,False,False
481,20.050,False,False
482,20.091,False,False
483,20.133,False,False
484,20.175,False,False
485,20.216,False,False
486,20.258,False,False
487,20.300,False,False
488,20.341,False,False
489,20.383,False,False
490,20.425,False,False
491,20.466,False,False
492,20.508,False,False
493,20.550,False,False
494,20.591,False,False
495,20.633,False,False
496,20.675,False,False
497,20.717,False,False
498,20.758,False,False
499,20.800,False,False
500,20.842,False,False
501,20.883,False,False
502,20.925,False,False
503,20.967,False,False
504,21.008,False,False
505,21.050,False,False
506,21.092,False,False
507,21.133,False,False
508,21.175,False,False
509,21.217,False,False
510,21.258,False,False
511,21.300,False,False
512,21.342,False,False
513,21.383,False,False
514,21.425,False,False
515,21.467,False,False
516,21.508,False,False
517,21.550,False,False
518,21.592,False,False
519,21.634,False,False
520,21.675,False,False
521,21.717,False,False
522,21.759,False,False
523,21.800,False,False
524,21.842,False,False
525,21.884,False,False
526,21.925,False,False
527,21.967,False,False
528,22.009,False,False
529,22.050,False,False
530,22.092,False,False
531,22.134,False,False
532,22.175,False,False
533,22.217,False,False
534,22.259,False,False
535,22.300,False,False
536,22.342,False,False
537,22.384,False,False
538,22.426,False,False
539,22.467,False,False
540,22.509,False,False
541,22.551,False,False
542,22.592,False,False
543,22.634,False,False
544,22.676,False,False
545,22.717,False,False
546,22.759,False,False
547,22.801,False,False
548,22.842,False,False
549,22.884,False,False
550,22.926,False,False
551,22.967,False,False
552,23.009,False,False
553,23.051,False,False
554,23.092,False,False
555,23.134,False,False
556,23.176,False,False
557,23.218,False,False
558,23.259,False,False
559,23.301,False,False
560,23.343,False,False
561,23.384,False,False
562,23.426,False,False
563,23.468,False,False
564,23.509,False,False
565,23.551,False,False
566,23.593,False,False
567,23.634,False,False
568,23.676,False,False
569,23.718,False,False
570,23.759,False,False
571,23.801,False,False
572,23.843,False,False
573,23.884,False,False
574,23.926,False,False
575,23.968,False,False
576,24.009,False,False
577,24.051,False,False
578,24.093,False,False
579,24.135,False,False
580,24.176,False,False
581,24.218,False,False
582,24.260,False,False
583,24.301,False,False
584,24.343,False,False
585,24.385,False,False
586,24.426,False,False
587,24.468,False,False
588,24.510,False,False
589,24.551,False,False
590,24.593,False,False
591,24.635,False,False
592,24.676,False,False
593,24.718,False,False
594,24.760,False,False
595,24.801,False,False
596,24.843,False,False
597,24.885,False,False
598,24.927,False,False
599,24.968,False,False
600,25.010,False,False
601,25.052,False,False
602,25.093,False,False
603,25.135,False,False
604,25.177,False,False
605,25.218,False,False
606,25.260,False,False
607,25.302,False,False
608,25.343,False,False
609,25.385,False,False
610,25.427,False,False
611,25.468,False,False
612,25.510,False,False
613,25.552,False,False
614,25.593,False,False
615,25.635,False,False
616,25.677,False,False
617,25.718,False,False
618,25.760,False,False
619,25.802,False,False
620,25.844,False,False
621,25.885,False,False
622,25.927,False,False
623,25.969,False,False
624,26.010,False,False
625,26.052,False,False
626,26.094,False,False
627,26.135,False,False
628,26.177,False,False
629,26.219,False,False
630,26.260,False,False
631,26.302,False,False
632,26.344,False,False
633,26.385,False,False
634,26.427,False,False
635,26.469,False,False
636,26.510,False,False
637,26.552,False,False
638,26.594,False,False
639,26.636,False,False
640,26.677,False,False
641,26.719,False,False
642,26.761,False,False
643,26.802,False,False
644,26.844,False,False
645,26.886,False,False
646,26.927,False,False
647,26.969,False,False
648,27.011,False,False
649,27.052,False,False
650,27.094,False,False
651,27.136,False,False
652,27.177,False,False
653,27.219,False,False
654,27.261,False,False
655,27.302,False,False
656,27.344,False,False
657,27.386,False,False
658,27.427,False,False
659,27.469,False,False
660,27.511,False,False
661,27.553,False,False
662,27.594,False,False
663,27.636,False,False
664,27.678,False,False
665,27.719,False,False
666,27.761,False,False
667,27.803,False,False
668,27.844,False,False
669,27.886,False,False
670,27.928,False,False
671,27.969,False,False
672,28.011,False,False
673,28.053,False,False
674,28.094,False,False
675,28.136,False,False
676,28.178,False,False
677,28.219,False,False
678,28.261,False,False
679,28.303,False,False
680,28.345,False,False
681,28.386,False,False
682,28.428,False,False
683,28.470,False,False
684,28.511,False,False
685,28.553,False,False
686,28.595,False,False
687,28.636,False,False
688,28.678,False,False
689,28.720,False,False
690,28.761,False,False
691,28.803,False,False
692,28.845,False,False
693,28.886,False,False
694,28.928,False,False
695,28.970,False,False
696,29.011,False,False
697,29.053,False,False
698,29.095,False,False
699,29.137,False,False
700,29.178,False,False
701,29.220,False,False
702,29.262,False,False
703,29.303,False,False
704,29.345,False,False
705,29.387,False,False
706,29.428,False,False
707,29.470,False,False
708,29.512,False,False
709,29.553,False,False
710,29.595,False,False
711,29.637,False,False
712,29.678,False,False
713,29.720,False,False
714,29.762,False,False
715,29.803,False,False
716,29.845,False,False
717,29.887,False,False
718,29.928,False,False
719,29.970,False,False
720,30.012,False,False
721,30.054,False,False
722,30.095,False,False
723,30.137,False,False
724,30.179,False,False
725,30.220,False,False
726,30.262,False,False
727,30.304,False,False
728,30.345,False,False
729,30.387,False,False
730,30.429,False,False
731,30.470,False,False
732,30.512,False,False
733,30.554,False,False
734,30.595,False,False
735,30.637,False,False
736,30.679,False,False
737,30.720,False,False
738,30.762,False,False
739,30.804,False,False
740,30.846,False,False
741,30.887,False,False
742,30.929,False,False
743,30.971,False,False
744,31.012,False,False
745,31.054,False,False
746,31.096,False,False
747,31.137,False,False
748,31.179,False,False
749,31.221,False,False
750,31.262,False,False
751,31.304,False,False
752,31.346,False,False
753,31.387,False,False
754,31.429,False,False
755,31.471,False,False
756,31.512,False,False
757,31.554,False,False
758,31.596,False,False
759,31.637,False,False
760,31.679,False,False
761,31.721,False,False
762,31.763,False,False
763,31.804,False,False
764,31.846,False,False
765,31.888,False,False
766,31.929,False,False
767,31.971,False,False
768,32.013,False,False
769,32.054,False,False
