frame_number,timestamp,left_hand_raised,right_hand_raised,dwell_stay_duration,dwell_is_long_stay,dwell_state,dwell_confidence,dwell_hip_center_x,dwell_hip_center_y,dwell_alert
0,0.000,False,False,0.000,False,STAYING,0.000,,,
1,0.042,False,False,0.000,False,STAYING,0.000,,,
2,0.083,False,False,0.000,False,STAYING,0.000,,,
3,0.125,False,False,0.000,False,STAYING,0.000,,,
4,0.167,False,False,0.000,False,STAYING,0.000,,,
5,0.208,False,False,0.000,False,STAYING,0.000,,,
6,0.250,False,False,0.000,False,STAYING,0.000,,,
7,0.292,False,False,0.000,False,STAYING,0.000,,,
8,0.333,False,False,0.000,False,STAYING,0.000,,,
9,0.375,False,False,0.000,False,STAYING,0.000,,,
10,0.417,False,False,0.000,False,STAYING,0.000,,,
11,0.459,False,False,0.000,False,STAYING,0.000,,,
12,0.500,False,False,0.000,False,STAYING,0.000,,,
13,0.542,False,False,0.000,False,STAYING,0.000,,,
14,0.584,False,False,0.000,False,STAYING,0.000,,,
15,0.625,False,False,0.000,False,STAYING,0.000,,,
16,0.667,False,False,0.000,False,STAYING,0.000,,,
17,0.709,False,False,0.000,False,STAYING,0.000,,,
18,0.750,False,False,0.000,False,STAYING,0.000,,,
19,0.792,False,False,0.000,False,STAYING,0.000,,,
20,0.834,False,False,0.000,False,STAYING,0.000,,,
21,0.875,False,False,0.000,False,STAYING,0.000,,,
22,0.917,False,False,0.000,False,STAYING,0.000,,,
23,0.959,False,False,0.000,False,STAYING,0.000,,,
24,1.000,False,False,0.000,False,STAYING,0.809,-128.9,585.9,
25,1.042,False,False,0.042,False,STAYING,0.827,-44.7,479.6,
26,1.084,False,False,0.042,False,POTENTIAL_MOVE,0.843,72.9,433.2,
27,1.125,False,False,0.042,False,POTENTIAL_MOVE,0.855,138.0,470.4,
28,1.167,False,False,0.042,False,POTENTIAL_MOVE,0.850,194.2,472.0,
29,1.209,False,False,0.042,False,POTENTIAL_MOVE,0.842,172.0,618.5,
30,1.251,False,False,0.042,False,POTENTIAL_MOVE,0.844,177.9,799.1,
31,1.292,False,False,0.042,False,POTENTIAL_MOVE,0.850,228.0,902.3,
32,1.334,False,False,0.042,False,POTENTIAL_MOVE,0.854,273.8,950.8,
33,1.376,False,False,0.042,False,POTENTIAL_MOVE,0.805,320.8,976.6,
34,1.417,False,False,0.042,False,POTENTIAL_MOVE,0.727,380.6,971.9,
35,1.459,False,False,0.042,False,POTENTIAL_MOVE,0.658,429.3,967.4,
36,1.501,False,False,0.042,False,POTENTIAL_MOVE,0.594,459.7,970.7,
37,1.542,False,False,0.042,False,POTENTIAL_MOVE,0.535,490.9,975.5,
38,1.584,False,False,0.000,False,STAYING,0.000,490.9,975.5,
39,1.626,False,False,0.000,False,STAYING,0.000,490.9,975.5,
40,1.667,False,False,0.000,False,STAYING,0.000,490.9,975.5,
41,1.709,False,False,0.000,False,STAYING,0.000,490.9,975.5,
42,1.751,False,False,0.000,False,STAYING,0.000,490.9,975.5,
43,1.792,False,False,0.000,False,STAYING,0.000,490.9,975.5,
44,1.834,False,False,0.000,False,STAYING,0.000,490.9,975.5,
45,1.876,False,False,0.000,False,STAYING,0.000,490.9,975.5,
46,1.917,False,False,0.000,False,STAYING,0.000,490.9,975.5,
47,1.959,False,False,0.000,False,STAYING,0.000,490.9,975.5,
48,2.001,False,False,0.000,False,STAYING,0.000,490.9,975.5,
49,2.043,False,False,0.000,False,STAYING,0.000,490.9,975.5,
50,2.084,False,False,0.000,False,STAYING,0.000,490.9,975.5,
51,2.126,False,False,0.000,False,STAYING,0.000,490.9,975.5,
52,2.168,False,False,0.000,False,STAYING,0.000,490.9,975.5,
53,2.209,False,False,0.000,False,STAYING,0.000,490.9,975.5,
54,2.251,False,False,0.000,False,STAYING,0.000,490.9,975.5,
55,2.293,False,False,0.000,False,POTENTIAL_MOVE,0.520,594.5,649.8,
56,2.334,False,False,0.000,False,POTENTIAL_MOVE,0.558,603.9,641.5,
57,2.376,False,False,0.000,False,POTENTIAL_MOVE,0.599,611.7,626.7,
58,2.418,False,False,0.000,False,POTENTIAL_MOVE,0.636,618.4,606.3,
59,2.459,False,False,0.000,False,POTENTIAL_MOVE,0.672,621.4,595.2,
60,2.501,False,False,0.000,False,POTENTIAL_MOVE,0.704,625.2,587.3,
61,2.543,False,False,0.000,False,POTENTIAL_MOVE,0.733,626.5,583.5,
62,2.584,False,False,0.000,False,POTENTIAL_MOVE,0.759,625.6,586.1,
63,2.626,False,False,0.000,False,POTENTIAL_MOVE,0.783,625.5,580.3,
64,2.668,False,False,0.000,False,POTENTIAL_MOVE,0.804,625.7,577.9,
65,2.709,False,False,0.000,False,POTENTIAL_MOVE,0.823,626.3,574.3,
66,2.751,False,False,0.000,False,POTENTIAL_MOVE,0.841,626.9,575.4,
67,2.793,False,False,0.000,False,POTENTIAL_MOVE,0.856,627.8,572.1,
68,2.835,False,False,0.000,False,POTENTIAL_MOVE,0.870,627.8,568.9,
69,2.876,False,False,0.000,False,POTENTIAL_MOVE,0.883,627.3,563.3,
70,2.918,False,False,0.000,False,POTENTIAL_MOVE,0.895,626.0,557.0,
71,2.960,False,False,0.000,False,POTENTIAL_MOVE,0.905,625.7,553.1,
72,3.001,False,False,0.000,False,POTENTIAL_MOVE,0.914,625.4,547.9,
73,3.043,False,False,0.000,False,POTENTIAL_MOVE,0.923,625.5,540.4,
74,3.085,False,False,0.000,False,POTENTIAL_MOVE,0.930,625.5,532.7,
75,3.126,False,False,0.000,False,POTENTIAL_MOVE,0.937,625.1,527.2,
76,3.168,False,False,0.000,False,POTENTIAL_MOVE,0.944,625.2,524.1,
77,3.210,False,False,0.000,False,POTENTIAL_MOVE,0.949,624.8,523.5,
78,3.251,False,False,0.000,False,POTENTIAL_MOVE,0.954,624.5,521.8,
79,3.293,False,False,0.000,False,POTENTIAL_MOVE,0.959,625.1,521.9,
80,3.335,False,False,0.000,False,POTENTIAL_MOVE,0.963,625.7,522.2,
81,3.376,False,False,0.000,False,POTENTIAL_MOVE,0.967,626.5,520.3,
82,3.418,False,False,0.000,False,POTENTIAL_MOVE,0.970,628.6,517.8,
83,3.460,False,False,0.000,False,POTENTIAL_MOVE,0.973,630.8,515.1,
84,3.501,False,False,0.000,False,POTENTIAL_MOVE,0.975,632.1,510.9,
85,3.543,False,False,0.000,False,POTENTIAL_MOVE,0.978,633.2,508.3,
86,3.585,False,False,0.000,False,POTENTIAL_MOVE,0.980,634.1,505.3,
87,3.627,False,False,0.000,False,POTENTIAL_MOVE,0.982,633.8,500.3,
88,3.668,False,False,0.000,False,POTENTIAL_MOVE,0.984,633.0,498.3,
89,3.710,False,False,0.000,False,POTENTIAL_MOVE,0.985,632.5,496.2,
90,3.752,False,False,0.000,False,POTENTIAL_MOVE,0.987,632.0,494.9,
91,3.793,False,False,0.000,False,STAYING,0.988,631.0,495.3,[!] Movement Confirmed
92,3.835,False,False,0.000,False,POTENTIAL_MOVE,0.989,630.0,495.0,
93,3.877,False,False,0.000,False,POTENTIAL_MOVE,0.990,629.0,494.8,
94,3.918,False,False,0.000,False,POTENTIAL_MOVE,0.991,627.8,494.9,
95,3.960,False,False,0.000,False,POTENTIAL_MOVE,0.992,626.2,493.4,
96,4.002,False,False,0.000,False,POTENTIAL_MOVE,0.993,624.1,492.4,
97,4.043,False,False,0.000,False,POTENTIAL_MOVE,0.993,621.6,490.0,
98,4.085,False,False,0.000,False,POTENTIAL_MOVE,0.994,618.5,487.6,
99,4.127,False,False,0.000,False,POTENTIAL_MOVE,0.994,615.6,486.3,
100,4.168,False,False,0.000,False,POTENTIAL_MOVE,0.995,612.5,483.8,
101,4.210,False,False,0.000,False,POTENTIAL_MOVE,0.995,610.8,482.5,
102,4.252,False,False,0.000,False,POTENTIAL_MOVE,0.996,609.3,481.0,
103,4.293,False,False,0.000,False,POTENTIAL_MOVE,0.996,608.7,480.0,
104,4.335,False,False,0.000,False,POTENTIAL_MOVE,0.996,607.8,480.6,
105,4.377,False,False,0.000,False,POTENTIAL_MOVE,0.997,606.7,480.1,
106,4.419,False,False,0.000,False,POTENTIAL_MOVE,0.997,605.7,478.6,
107,4.460,False,False,0.000,False,POTENTIAL_MOVE,0.997,604.6,477.2,
108,4.502,False,False,0.000,False,POTENTIAL_MOVE,0.997,603.9,476.1,
109,4.544,False,False,0.000,False,POTENTIAL_MOVE,0.998,602.1,474.0,
110,4.585,False,False,0.000,False,POTENTIAL_MOVE,0.998,601.1,473.0,
111,4.627,False,False,0.000,False,POTENTIAL_MOVE,0.998,600.5,472.0,
112,4.669,False,False,0.000,False,POTENTIAL_MOVE,0.998,601.4,470.2,
113,4.710,False,False,0.000,False,POTENTIAL_MOVE,0.998,600.8,469.0,
114,4.752,False,False,0.000,False,POTENTIAL_MOVE,0.998,601.2,467.3,
115,4.794,False,False,0.000,False,POTENTIAL_MOVE,0.998,601.6,464.9,
116,4.835,False,False,0.000,False,POTENTIAL_MOVE,0.998,600.7,464.8,
117,4.877,False,False,0.000,False,POTENTIAL_MOVE,0.998,600.4,465.1,
118,4.919,False,False,0.000,False,POTENTIAL_MOVE,0.998,599.5,464.8,
119,4.960,False,False,0.000,False,POTENTIAL_MOVE,0.998,598.3,464.1,
120,5.002,False,False,0.000,False,POTENTIAL_MOVE,0.998,597.4,463.4,
121,5.044,False,False,0.000,False,POTENTIAL_MOVE,0.998,597.4,463.8,
122,5.085,False,False,0.000,False,POTENTIAL_MOVE,0.998,597.3,464.1,
123,5.127,False,False,0.000,False,POTENTIAL_MOVE,0.998,597.1,464.9,
124,5.169,False,False,0.000,False,POTENTIAL_MOVE,0.998,596.9,465.1,
125,5.211,False,False,0.000,False,POTENTIAL_MOVE,0.998,596.2,466.1,
126,5.252,False,False,0.000,False,POTENTIAL_MOVE,0.998,595.6,466.4,
127,5.294,False,False,0.000,False,POTENTIAL_MOVE,0.998,595.1,469.2,
128,5.336,False,False,0.000,False,STAYING,0.998,594.8,470.4,[!] Movement Confirmed
129,5.377,False,False,0.042,False,STAYING,0.998,594.7,470.5,
130,5.419,False,False,0.083,False,STAYING,0.998,594.5,471.7,
131,5.461,False,False,0.125,False,STAYING,0.998,594.5,471.8,
132,5.502,False,False,0.167,False,STAYING,0.998,594.7,471.8,
133,5.544,False,False,0.208,False,STAYING,0.998,594.8,472.6,
134,5.586,False,False,0.250,False,STAYING,0.998,594.8,473.0,
135,5.627,False,False,0.292,False,STAYING,0.998,594.9,473.9,
136,5.669,False,False,0.333,False,STAYING,0.998,595.2,474.1,
137,5.711,False,False,0.375,False,STAYING,0.999,595.3,474.9,
138,5.752,False,False,0.417,False,STAYING,0.999,595.5,474.8,
139,5.794,False,False,0.459,False,STAYING,0.999,595.8,474.7,
140,5.836,False,False,0.500,False,STAYING,0.999,595.9,474.7,
141,5.877,False,False,0.542,False,STAYING,0.999,596.1,474.9,
142,5.919,False,False,0.584,False,STAYING,0.999,596.3,474.9,
143,5.961,False,False,0.625,False,STAYING,0.999,596.4,474.9,
144,6.003,False,False,0.667,False,STAYING,0.998,596.4,474.8,
145,6.044,False,False,0.709,False,STAYING,0.998,596.4,474.8,
146,6.086,False,False,0.750,False,STAYING,0.998,596.4,474.8,
147,6.128,False,False,0.792,False,STAYING,0.998,596.4,475.0,
148,6.169,False,False,0.834,False,STAYING,0.998,596.4,475.3,
149,6.211,False,False,0.875,False,STAYING,0.998,596.4,475.8,
150,6.253,False,False,0.917,False,STAYING,0.998,596.5,476.0,
151,6.294,False,False,0.959,False,STAYING,0.998,596.6,476.2,
152,6.336,False,False,1.000,False,STAYING,0.998,596.8,476.5,
153,6.378,False,False,1.042,False,STAYING,0.998,596.9,476.7,
154,6.419,False,False,1.084,False,STAYING,0.998,596.9,476.7,
155,6.461,False,False,1.125,False,STAYING,0.998,597.0,476.9,
156,6.503,False,False,1.167,False,STAYING,0.998,597.0,477.1,
157,6.544,False,False,1.209,False,STAYING,0.998,597.1,477.1,
158,6.586,False,False,1.251,False,STAYING,0.998,597.3,477.2,
159,6.628,False,False,1.292,False,STAYING,0.998,597.4,477.2,
160,6.669,False,False,1.334,False,STAYING,0.998,597.5,477.3,
161,6.711,False,False,1.376,False,STAYING,0.998,597.5,477.6,
162,6.753,False,False,1.417,False,STAYING,0.998,597.5,477.8,
163,6.795,False,False,1.459,False,STAYING,0.998,597.4,478.2,
164,6.836,False,False,1.501,False,STAYING,0.997,597.3,478.3,
165,6.878,False,False,1.542,False,STAYING,0.997,597.2,478.3,
166,6.920,False,False,1.584,False,STAYING,0.997,596.9,478.2,
167,6.961,False,False,1.626,False,STAYING,0.997,596.5,477.7,
168,7.003,False,False,1.667,False,STAYING,0.997,595.8,476.6,
169,7.045,False,False,1.709,False,STAYING,0.997,595.5,474.7,
170,7.086,False,False,1.751,False,STAYING,0.997,595.4,473.0,
171,7.128,False,False,1.792,False,STAYING,0.998,594.8,471.7,
172,7.170,False,False,1.834,False,STAYING,0.998,593.6,471.6,
173,7.211,False,False,1.876,False,STAYING,0.998,593.0,469.9,
174,7.253,False,False,1.917,False,STAYING,0.998,592.5,468.7,
175,7.295,False,False,1.959,False,STAYING,0.998,592.6,469.3,
176,7.336,False,False,2.001,False,STAYING,0.998,592.9,469.6,
177,7.378,False,False,2.043,False,STAYING,0.998,592.6,471.2,
178,7.420,False,False,2.084,False,STAYING,0.998,592.6,471.7,
179,7.461,False,False,2.126,False,STAYING,0.998,592.7,471.7,
180,7.503,False,False,2.168,False,STAYING,0.998,592.8,471.4,
181,7.545,False,False,2.209,False,STAYING,0.998,593.0,470.7,
182,7.587,False,False,2.251,False,STAYING,0.998,593.2,470.6,
183,7.628,False,False,2.293,False,STAYING,0.998,593.5,470.6,
184,7.670,False,False,2.334,False,STAYING,0.998,594.1,470.7,
185,7.712,False,False,2.376,False,STAYING,0.998,594.7,470.5,
186,7.753,False,False,2.418,False,STAYING,0.999,595.4,470.2,
187,7.795,False,False,2.459,False,STAYING,0.999,595.8,469.9,
188,7.837,False,False,2.501,False,STAYING,0.999,596.3,469.7,
189,7.878,False,False,2.543,False,STAYING,0.999,596.7,469.2,
190,7.920,False,False,2.584,False,STAYING,0.999,597.2,468.6,
191,7.962,False,False,2.626,False,STAYING,0.999,597.7,468.5,
192,8.003,False,False,2.668,False,STAYING,0.999,598.1,468.0,
193,8.045,False,False,2.709,False,STAYING,0.999,598.5,467.2,
194,8.087,False,False,2.751,False,STAYING,0.999,598.7,466.0,
195,8.128,False,False,2.793,False,STAYING,0.999,599.1,464.4,
196,8.170,False,False,2.835,False,STAYING,0.998,599.5,463.5,
197,8.212,False,False,2.876,False,STAYING,0.998,599.3,463.4,
198,8.253,False,False,2.918,False,STAYING,0.998,599.1,463.4,
199,8.295,False,False,2.960,False,STAYING,0.998,599.0,463.5,
200,8.337,False,False,3.001,False,STAYING,0.998,598.9,463.6,
201,8.379,False,False,3.043,False,STAYING,0.998,598.9,463.7,
202,8.420,False,False,3.085,False,STAYING,0.998,598.6,463.4,
203,8.462,False,False,3.126,False,STAYING,0.998,597.7,463.5,
204,8.504,False,False,3.168,False,STAYING,0.998,596.6,463.5,
205,8.545,False,False,3.210,False,STAYING,0.998,595.3,463.4,
206,8.587,False,False,3.251,False,STAYING,0.998,594.2,463.4,
207,8.629,False,False,3.293,False,STAYING,0.998,593.0,463.4,
208,8.670,False,False,3.335,False,STAYING,0.998,593.2,463.4,
209,8.712,False,False,3.376,False,STAYING,0.998,591.9,463.3,
210,8.754,False,False,3.418,False,STAYING,0.998,590.5,463.3,
211,8.795,False,False,3.460,False,STAYING,0.999,589.3,463.4,
212,8.837,False,False,3.501,False,STAYING,0.999,588.0,463.5,
213,8.879,False,False,3.543,False,STAYING,0.999,587.7,463.8,
214,8.920,False,False,3.585,False,STAYING,0.999,587.2,464.3,
215,8.962,False,False,3.627,False,STAYING,0.999,586.9,465.2,
216,9.004,False,False,3.668,False,STAYING,0.999,586.7,465.3,
217,9.045,False,False,3.710,False,STAYING,0.999,586.3,465.3,
218,9.087,False,False,3.752,False,STAYING,0.999,585.8,465.4,
219,9.129,False,False,3.793,False,STAYING,0.999,585.7,465.6,
220,9.171,False,False,3.835,False,STAYING,0.999,585.5,466.1,
221,9.212,False,False,3.877,False,STAYING,0.999,585.2,467.0,
